Word	Category	WordClass	TranslationEng	TranslationEpo	Do not remove (Proofreading)	Tags	SearchTermsEng	TransNote	LexiliAsel	Hyphenation	Synonyms	Antonyms	slug_mod	OfficialWord	TranslationSpa	TranslationDeu	TranslationFra	TranslationRus	TranslationZho	TranslationHin	TranslationAra	Etymological support	
acidiroti	derived	b	n: sourdough (bread)	s: acida pano		yamxey			acidi + roti					FALSE	s: pan de masa madre	Sauerteigbrot	n: pain au levain	хлеб на закваске	名: 酸面包	सं: खट्टी ब्रेड	اسم: خُبْز مُخْتَمِر	Parsisa (نان خمیر ترش), Indonesisa (roti asam)	
acidiya	derived	b	n (state/quality): acidity, acidness, sourness	s (stato/kvalito): acideco					acidi + -ya					FALSE	s (estado/cualidad): acidez		n (état/qualité): acidité	кислотность	名: 酸性, 酸味	सं: अम्लता, खट्टापन	اسم (صِفَة): حُمُوضَة		
adasi	root	b	n: lentil	s: lento		palobija			Arabisa (عَدَس “adas”), Parsisa (عدس “adas”), Swahilisa (adesi)					TRUE	s: lenteja	Linse	n: lentille	чечевица	名: 小扁豆, 扁豆	सं: मसूर, दाल	اسم: عَدَس		
adasisupa	derived	b	n: lentil soup	s: lenta supo, lentosupo		yamxey			adasi + supa					FALSE	s: sopa de lentejas		n: soupe aux lentilles	чечевичный суп	名: 小扁豆汤, 扁豆汤	सं: मसूर की दाल	اسم: شُورَبَة العَدَس، حَسَاء العَدَس		
adatexey	derived	b	n: adaptation (_countable_)	s: adaptaĵo					adate + -xey					FALSE	s: adaptación		n: adaptation (_dénombrable_)		名: 改编作品, 改编版	सं: रूपांतरण	اسم: اِقْتِبَاس		
adebu	root	b	n: politeness, courtesy	s: ĝentileco					Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)			nenadebu		TRUE	s: cortesía, amabilidad		n: politesse, courtoisie		名: 礼貌, 礼节	सं: शिष्टाचार, विनम्रता	اسم: أَدَب، لَبَاقَة		
adebukalya	derived	b	n: impoliteness, rudeness	s: malĝentileco					adebu + -kal + -ya		nenadebu			FALSE	s: descortesía, grosería		n: impolitesse, grossièreté		名: 无礼, 粗鲁	सं: अशिष्टता, बदतमीज़ी	اسم: قِلَّة أَدَب، فَظَاظَة، وَقَاحَة		
adhesiente	derived	b	n: adhesive	s: gluo, gluaĵo, adherigaĵo		ente			adhesi + ente					FALSE	s: adhesivo, pegamento		n: adhésif, colle		名: 粘合剂, 胶水	सं: गोंद	اسم: مَادَّة لَاصِقَة، غِرَاء		
adilya	derived	b	n: fairness, justice	s: justeco					adil + -ya			posadilya, nenadilya		TRUE	s: justicia		n: équité, justice		名: 公平, 公正	सं: न्याय, इंसाफ़	اسم: عَدَالَة، إِنْصَاف		
admiral	root	b	n: admiral	s: admiralo		person, navi			Englisa (admiral), Espanisa (almirante), Fransesa (amiral), Rusisa (адмирал “admiral”), Doycisa (Admiral), Pilipinasa (almirante), Hindi (ऐडमिरल “edmiral”), Arabisa (أَمِيرُ البَحْر “amiru l-bahr”, أَدْمِيرَال “admiral”), Telugusa (అడ్మిరల్ “admiral”), Turkisa (oramiral), Swahilisa (admirali)					TRUE	s: almirante	Admiral	n: amiral	адмирал	名: 海军上将	सं: एडमिरल	اسم: أَمِير البَحْر، أَدْمِيرَال		
admiralya	derived	b	n: admiralty	s: admiraleco					admiral + -ya					FALSE	s: almirantazgo		n: amirauté		名: 海军上将之职	सं: एडमिरल का पद	اسم: رُتْبَة أَمِير البَحْر		
adola	root	b	n: muscle	s: muskolo		jismulogi			Arabisa (عضلة “adala”), Parsisa (عضله “azole”), Turkisa (adale)					TRUE	s: músculo	Muskel	n: muscle	мышца, мускул	名: 肌肉	सं: मांसपेशी, पेशी	اسم: عَضَلَة		
adolabalaya	derived	b	n: brawn	s: muskoleco, fortikeco					adola + bala + -ya		adolapulya			FALSE	s: musculatura, fortaleza		n: musculature, force physique		名: 肌力, 体力	सं: बलिष्ठता, मांसलता	اسم: قُوَّة عَضَلِيَّة، فُتُوَّة		
adolaitis	derived	b	n: myositis	s: miozito					adola + itis					FALSE	s: miositis		n: myosite		名: 肌炎	सं: मांसपेशी शोथ, मायोसाइटिस	اسم: اِلْتِهَاب العَضَل		
adolapulya	derived	b	n: brawn	s: muskoleco, fortikeco					adola + -pul + -ya		adolabalaya			FALSE	s: musculatura, fortaleza		n: musculature, force physique		名: 肌力, 体力	सं: बलिष्ठता, मांसलता	اسم: قُوَّة عَضَلِيَّة، فُتُوَّة		
adopsibyuro	derived	b	n: adoption agency	s: adoptejo					adopsi + byuro					FALSE	s: agencia de adopción		n: agence d'adoption		名: 收养机构, 领养机构	सं: गोद लेने की एजेंसी	اسم: وَكَالَة تَبَنٍّ		
adopsiyen	derived	b	n: adoptive parent	s: adoptinto					adopsi + -yen					FALSE	s: padre adoptivo		n: parent adoptif		名: 养父母	सं: दत्तक अभिभावक	اسم: وَالِد بِالتَّبَنِّي، مُتَبَنٍّ		
adrenalin	root	b	n: adrenaline, epinephrine	s: adrenalino, epinefrino		medis			Arabisa (أَدْرِينَالِين‎ “ʾadrīnālīn”), Englisa (adrenaline), Fransesa (adrénaline), Doycisa (Adrenalin), Hindi (एड्रेनालाईन “eḍrenālāīn”), Niponsa (アドレナリン “adorenarin”), Koreasa (아드레날린 “adeurenallin”), Rusisa (адреналин “adrenalin”), Espanisa (adrenalina), Swahilisa (adrenalini), Pilipinasa (adrenalina), Turkisa (adrenalin), Vyetnamsa (adrenaline)					TRUE	s: adrenalina, epinefrina	Adrenalin	n: adrénaline, épinéphrine	адреналин, эпинефрин	名: 肾上腺素	सं: एड्रेनालिन, एपिनेफ्रीन	اسم: أَدْرِينَالِين، إِيبِينِفْرِين		
adresukitabu	derived	b	n: address book	s: adreslibro		xey			adresu + kitabu	adresu-kitabu				FALSE	s: libreta de direcciones		n: carnet d'adresses	адресная книга	名: 通讯录, 地址簿	सं: पता-पुस्तिका	اسم: دَفْتَر العَنَاوِين		
adresulari	derived	b	n: directory	s: adresaro					adresu + lari					TRUE	s: directorio		n: répertoire, annuaire		名: 名录	सं: निर्देशिका, पता-सूची	اسم: دَلِيل		
afatu	root	b	n: disaster, catastrophe, calamity	s: katastrofo					Hindi (आफ़त “afat”), Arabisa (آفَة “afa”), Turkisa (afet), Parsisa (آفت “afat”), Swahilisa (afa)					TRUE	s: desastre, catástrofe, calamidad	Desaster, Unglück, Katastrophe, Unheil	n: désastre, catastrophe, calamité	бедствие, катастрофа	名: 灾难, 灾害	सं: आपदा, विपत्ति	اسم: كَارِثَة، نَكْبَة، مُصِيبَة		
afsane	root	b	n: legend (_story_)	s: legendo		palalogi, kultura			Hindi (अफ़्साना “afsana”), Turkisa (efsane), Parsisa (افسانه “afsâne”)					TRUE	s: leyenda	Legende	n: légende (_récit_)	легенда	名: 传说, 传奇	सं: किंवदंती, दंतकथा	اسم: أُسْطُورَة		
agilya	derived	b	n: agility	s: facilmoveco, lerteco					agil + -ya					TRUE	s: agilidad	Beweglichkeit, Agilität, Wendigkeit	n: agilité		名: 敏捷, 灵活	सं: फुर्ती, चपलता	اسم: رَشَاقَة، خِفَّة الحَرَكَة		
ajabuxey	derived	b	n: peculiarity, oddity	s: strangaĵo, bizaraĵo, kuriozaĵo					ajabu + -xey					TRUE	s: rareza, peculiaridad		n: bizarrerie, particularité		名: 怪事, 奇事	सं: अजीब बात, अनोखी बात	اسم: أَمْر غَرِيب، شَيْء غَرِيب		
ajabuya	derived	b	n: strangeness, weirdness, oddness, peculiarity	s: strangeco, bizareco, kuriozeco					ajabu + -ya					TRUE	s: extrañeza, rareza		n: étrangeté		名: 奇怪, 怪异	सं: विचित्रता, अजीबपन	اسم: غَرَابَة، شُذُوذ		
ajabuyen	derived	b	n: oddball, weirdo, crank, eccentric, strange person	s: strangulo, bizarulo, kuriozulo					ajabu + -yen					TRUE	s: bicho raro, excéntrico		n: excentrique, original		名: 怪人, 怪胎	सं: सनकी, अजीब आदमी	اسم: غَرِيب الأَطْوَار، شَخْص شَاذّ		
akaci	root	b	n: acacia	s: akacio		drevo			Englisa (acacia), Espanisa (acacia), Fransesa (acacia), Rusisa (акация “akatsiya”), Doycisa (Akazie), Portugalsa (acacia), Italisa (acacia), Indonesisa (akasia), Pilipinasa (akasya), Arabisa (أَقَاقِيَا “aqaqiya”), Parsisa (آکاسیا “'âkâsiyâ”), Turkisa (akasya), Koreasa (아카시아 “akaxia”), Niponsa (アカシア “akaxia”)					FALSE	s: acacia	Akazie	n: acacia	акация	名: 金合欢	सं: बबूल, कीकर	اسم: أَكَاسْيَا، سَنْط		
akademi	root	b	n: academy	s: akademio		eskolya			Doycisa (Akademie), Englisa (academy), Espanisa (academia), Fransesa (académie), Rusisa (академия “akademiya”), Arabisa (أَكَادِيمِيَّة “ʾakādīmiyya”), Parsisa (آکادمی “âkâdemi”), Turkisa (akademi), Swahilisa (akademia), Hindi (अकादमी “akādmī”), Telugusa (అకాడమీ “akāḍamī”), Indonesisa (akademi), Pilipinasa (akademya), Niponsa (アカデミー “akademī”), Koreasa (아카데미 “akademi”)					TRUE	s: academia	Akademie	n: académie	академия	名: 学院	सं: अकादमी	اسم: أَكَادِيمِيَّة		
akere	root	b	n: acre	s: akreo		meterya			Englisa (acre), Espanisa (acre), Fransesa (acre), Rusisa (акр “akr”), Doycisa (Acker), Indonesisa (ekar), Pilipinasa (akre), Hindi (एकड़ “ekar”), Arabisa (آكِر “akir”), Niponsa (エーカー “eka”), Telugusa (ఎకరం “ekaram”), Turkisa (akre), Koreasa (에이커 “eyko”), Swahilisa (ekari)					TRUE	s: acre	Morgen, Acker, Joch (Landes)	n: acre	акр 	名: 英亩	सं: एकड़	اسم: أَيْكَر		
akereje	derived	b	n: acreage	s: akrearo (_nombro_)					akere + -je					FALSE	s: extensión, superficie		n: superficie		名: 英亩数	सं: रकबा	اسم: مِسَاحَة بِالأَيْكَرَات، عَدَد الأَيْكَرَات		
akiku	root	b	n: agate	s: agato		petra			Indonesisa (akik), Hindi (अकीक “akik”), Arabisa (عقيق “akik”), Parsisa (عقیق “'aqiq”), Turkisa (akik)					FALSE	s: ágata	Achat	n: agate	агат	名: 玛瑙	सं: सुलेमानी पत्थर, अकीक	اسم: عَقِيق		
akiletendon	derived	b	n: Achilles tendon	s: aĥila tendono		jismulogi			Akile + tendon					FALSE	s: tendón de Aquiles	Achillessehne	n: tendon d'Achille	ахиллово сухожилие, пяточное сухожилие	名: 跟腱	सं: अकिलीज़ कंडरा	اسم: وَتَر أَخِيل		
akne	root	b	n: acne	s: aknohaŭto, akneo		medis			Englisa (acne), Espanisa (acné), Fransesa (acné), Rusisa (акне “akne”), Doycisa (Akne), Indonesisa (akne), Pilipinasa (akne), Turkisa (akne), Parsisa (آکنه “akne”)					TRUE	s: acné	Akne	n: acné	акне	名: 痤疮, 青春痘	सं: मुहांसे	اسم: حَبّ الشَّبَاب، عُدّ		
aknemon	derived	b	n: pustule, pimple, zit	s: akno, pustulo		medis			akne + -mon					FALSE	s: pústula, grano		n: bouton, pustule		名: 痘痘, 粉刺	सं: फुंसी, मुहांसा	اسم: بَثْرَة		
akonto	root	b	n: account	s: konto					Englisa (account), Espanisa (cuenta), Fransesa (compte), Rusisa (аккаунт “akkaunt”), Doycisa (Konto), Indonesisa (akun), Pilipinasa (akawnt, kuwenta), Niponsa (アカウント “akaunto”), Koreasa (어카운트 “okauntu”), Swahilisa (akaunti)					TRUE	s: cuenta	Konto	n: compte	учётная запись, аккаунт, счёт	名: 账户, 账号	सं: खाता	اسم: حِسَاب		
akorde	root	b	n: chord (_music_)	s: akordo (_muziko_)		musika			Englisa (chord), Espanisa (acorde), Fransesa (accord), Rusisa (аккорд “akkord”), Doycisa (Akkord), Pilipinasa (akorde), Swahilisa (kordi), Parsisa (آکورد “âkord”), Turkisa (akor, akort)					FALSE	s: acorde	Akkord	n: accord (_musique_)	аккорд 	名: 和弦	सं: कॉर्ड	اسم: تَآلُف (_مُوسِيقَى_)		
akordyon	root	b	n: accordion	s: akordiono		musikatul			Englisa (accordion), Espanisa (acordeón), Fransesa (accordéon), Rusisa (аккордеон “akkordeon”), Doycisa (Akkordeon), Indonesisa (akordeon), Pilipinasa (akordeon, kurdiyon), Hindi (अकॉर्डियन “akordiyan”), Tamilsa (அக்கார்டியன் “akardian”), Arabisa (أَكُورْدِيُون “akurdiyun”), Swahilisa (kodiana), Parsisa (آکاردئون “âkârde'on”), Turkisa (akordiyon), Koreasa (아코디언 “akodion”), Niponsa (アコーデオン “akodeon”), Vyetnamsa (ắc-coóc-đê-ông)					FALSE	s: acordeón	Akkordeon	n: accordéon	аккордеон, гармоника	名: 手风琴	सं: अकॉर्डियन	اسم: أَكُورْدِيُون		
akran	root	b	n: scorpion, _Scorpiones_	s: skorpio		hewan			Espanisa (alacrán), Pilipinasa (alakdan), Hindi (अकरब “akrab”), Arabisa (عَقْرَب “akrab”), Turkisa (akrep), Parsisa (عقرب “akrab”), Swahilisa (akarabu)					TRUE	s: escorpión, alacrán	Skorpion	n: scorpion	скорпион	名: 蝎子	सं: बिच्छू	اسم: عَقْرَب		
akrobati	root	b	n: acrobatics (_art, skill, performance_)	s: akrobatado					Englisa (acrobatics), Espanisa (acrobacia), Fransesa (acrobatie), Rusisa (акробатика “akrobatika”), Doycisa (Akrobatik), Indonesisa (akrobatik), Pilipinasa (akrobatika), Turkisa (akrobasi), Parsisa (آکروباتیک “âkrobâtik”)					TRUE	s: acrobacia	Akrobatik	n: acrobatie (_art_)	акробатика	名: 杂技	सं: कलाबाज़ी	اسم: بَهْلَوَانِيَّة، فَنّ البَهْلَوَان		
akrobatixey	derived	b	n: acrobatics (_gymnastic moves_)	s: akrobataĵo					akrobati + -xey					FALSE	s: acrobacia		n: acrobatie (_figure_)		名: 杂技动作	सं: कलाबाज़ी के करतब	اسم: حَرَكَات بَهْلَوَانِيَّة		
akrobatiyen	derived	b	n: acrobat	s: akrobato					akrobati + -yen					TRUE	s: acróbata		n: acrobate	акробат	名: 杂技演员	सं: कलाबाज़	اسم: بَهْلَوَان		
akse	root	b	n: axis, axle	s: akso		tul, matemati			Englisa (axis), Espanisa (eje), Fransesa (axe), Rusisa (ось “os”), Doycisa (Achse), Italisa (asse), Pilipinasa (axis, ehe), Hindi (अक्ष “akx”), Telugusa (అక్షము “akxamu”), Turkisa (eksen), Parsisa (آسه “ase”)					TRUE	s: eje	Achse	n: axe, essieu	ось	名: 轴	सं: अक्ष, धुरी	اسم: مِحْوَر		
aksento	root	b	n: accent (_sociolinguistics_)	s: akĉento (_sociolingvistiko_)		basalogi			Englisa (accent), Espanisa (acento), Fransesa (acento), Rusisa (акцент “aktsent”), Doycisa (Akzent), Indonesisa (aksen), Turkisa (aksan), Parsisa (اکسنت “aksent”)					TRUE	s: acento	Akzent (_Aussprache_)	n: accent (_sociolinguistique_)	акцент, выговор	名: 口音	सं: लहजा	اسم: لَكْنَة، لَهْجَة		
aksetyan	derived	b	n: coordinate	s: koordinato		matemati			akse + tyan					FALSE	s: coordenada	Koordinate	n: coordonnée	координата	名: 坐标	सं: निर्देशांक	اسم: إِحْدَاثِيَّة	Swahilisa (majiranukta)	
aksyoma	root	b	n: axiom, postulate	s: aksiomo, postulato		palalogi, sofilogi			Englisa (axiom), Espanisa (axioma), Fransesa (axiome), Rusisa (аксиома “aksioma”), Doycisa (Axiom), Indonesisa (aksioma), Parsisa (آکسیوم “aksiyom”), Turkisa (aksiyom)					FALSE	s: axioma, postulado		n: axiome, postulat	аксиома, постулат	名: 公理, 公设	सं: स्वयंसिद्ध, अभिधारणा	اسم: بَدِيهِيَّة، مُسَلَّمَة		
aksyonkadam	derived	b	n: procedure	s: proceduro					aksyon + kadam					FALSE	s: procedimiento		n: procédure		名: 程序, 步骤	सं: प्रक्रिया, कार्यविधि	اسم: إِجْرَاء		
akxu	root	b	n: vice (_morality_)	s: malvirto		sofilogi			Putunhwa (恶习 “exi”), Niponsa (悪習 “akuxu”), Koreasa (악습 “aksup”)			fadila		TRUE	s: vicio		n: vice (_morale_)		名: 恶习, 恶德	सं: बुराई, दुर्गुण	اسم: رَذِيلَة		
albatros	root	b	n: albatross, _Diomedeidae_	s: albatroso		piu			Englisa (albatross), Espanisa (albatros), Fransesa (albatros), Rusisa (альбатрос “albatros”), Doycisa (Albatros), Indonesisa (albatros), Pilipinasa (albatros), Niponsa (アルバトロス “arubatorosu”), Telugusa (ఆల్బట్రాస్ “albatras”), Parsisa (آلباتروس “albatros”), Swahilisa (albatrosi)					TRUE	s: albatros	Albatros	n: albatros	альбатрос 	名: 信天翁	सं: एल्बाट्रॉस	اسم: قَطْرَس		
alegori	root	b	n: allegory	s: alegorio		palalogi			Englisa (allegory), Espanisa (alegoría), Fransesa (allégorie), Rusisa (аллегория “allegoriya”), Doycisa (Allegorie), Indonesisa (alegori), Pilipinasa (alegoriya), Niponsa (アレゴリー “aregori”), Turkisa (alegori), Koreasa (알레고리 “allegori”)					TRUE	s: alegoría		n: allégorie	иносказание, аллегория	名: 寓言, 讽喻	सं: रूपक	اسم: قِصَّة رَمْزِيَّة، اِسْتِعَارَة تَمْثِيلِيَّة		
alergi	root	b	n: allergy	s: alergio		medis			Englisa (allergy), Fransesa (allergie), Doycisa (Allergie), Rusisa (аллергия “allergiya”), Espanisa (alergia), Hindi (एलर्जी “elarjī”), Turkisa (alerji), Indonesisa (alergi), Pilipinasa (alerdyi), Arabisa (أَرَجِيَّة “ʾarajiyya”), Parsisa (آلرژی “âlerži”), Niponsa (アレルギー “arerugī”), Koreasa (알레르기 “allereugi”)					TRUE	s: alergia	Allergie	n: allergie	аллергия 	名: 过敏	सं: एलर्जी	اسم: حَسَاسِيَّة		
alga	root	b	n: alga, algae	s: algo(j)		bio			Englisa (alga), Espanisa (alga), Fransesa (algue), Doycisa (Alge), Indonesisa (alga), Turkisa (alg), Parsisa (آلگ “alg”), Swahilisa (alga)					TRUE	s: alga	Alge(n)	n: algue	водоросль, водоросли	名: 藻类, 水藻	सं: शैवाल, काई	اسم: طُحْلُب، طَحَالِب		
algafutru	derived	b	n: lichen	s: liĥeno, likeno		bio			alga + futru					FALSE	s: liquen	Flechte	n: lichen	лишайник, лишай	名: 地衣	सं: लाइकेन	اسم: حَزَاز		
algoritma	root	b	n: algorithm	s: algoritmo		matemati			Englisa (algorithm), Espanisa (algoritmo), Fransesa (algorithme), Rusisa (алгоритм “algoritm”), Doycisa (Algorithmus), Indonesisa (algoritme), Pilipinasa (algoritmo), Hindi (अल्गोरिद्म “algoridma”), Arabisa (خُوَارِزْمِيَّة “huwarizmiya”), Niponsa (アルゴリズム “arugorizumu”), Telugusa (అల్గోరిథం “algoritam”), Koreasa (알고리즘 “algorijum”), Turkisa (algoritma), Parsisa (الگوریتم “algoritm”), Swahilisa (algorithimu)					TRUE	s: algoritmo	Algorithmus	n: algorithme	алгоритм 	名: 算法	सं: एल्गोरिथम, कलन विधि	اسم: خُوَارِزْمِيَّة		
aligator	root	b	n: alligator, _Alligatorinae_	s: aligatoro		retilyen			Englisa (alligator), Espanisa (aligátor), Fransesa (alligator), Rusisa (аллигатор “alligator”), Doycisa (Alligator), Indonesisa (alligator), Pilipinasa (aligeytor), Arabisa (قَاطُور “katur”), Niponsa (アリゲーター “arigeta”), Tamilsa (அலிகேட்டர் “aliketar”), Turkisa (alligator), Koreasa (앨리게이터 “eligeito”), Swahilisa (aligatori, aligeita)					TRUE	s: caimán, aligátor	Alligator	n: alligator	аллигатор	名: 短吻鳄	सं: एलिगेटर	اسم: أَلِيجَاتُور، تِمْسَاح أَمْرِيكِيّ		
alimlogi	derived	b	n: pedagogy	s: pedagogio, instruscienco, edukarto		eskolya			alim + logi					FALSE	s: pedagogía		n: pédagogie		名: 教育学	सं: शिक्षाशास्त्र	اسم: عِلْم التَّرْبِيَة، عِلْم التَّدْرِيس		
alimxey	derived	b	n: teaching (_countable_)	s: instruaĵo		eskolya			alim + -xey					TRUE	s: enseñanza		n: enseignement (_dénombrable_)		名: 教诲, 教导	सं: उपदेश, शिक्षा	اسم: تَعَالِيم، عَقِيدَة		
alimyen	derived	b	n: teacher, instructor, professor	s: instruisto, instruanto		eskolya			alim + -yen					TRUE	s: profesor, instructor, maestro		n: enseignant, instructeur, professeur		名: 老师, 教师	सं: शिक्षक, अध्यापक	اسم: مُعَلِّم، مُدَرِّس، أُسْتَاذ		
aljebra	root	b	n: algebra	s: algebro		matemati			Englisa (algebra), Espanisa (álgebra), Fransesa (algèbre), Rusisa (алгебра “algebra”), Doycisa (Algebra), Indonesisa (aljabar), Pilipinasa (alhebra), Arabisa (عِلْم الْجَبْر “ilm aljabr”, جَبْر “jabr”), Turkisa (cebir), Parsisa (جبر “jabr”), Swahilisa (aljebra)					TRUE	s: álgebra	Algebra	n: algèbre	алгебра 	名: 代数	सं: बीजगणित	اسم: جَبْر، عِلْم الجَبْر		
alkali	root	b	n: alkali	s: alkalo		kimika			Englisa (alkali), Espanisa (álcali), Fransesa (alcali), Doycisa (Alkali), Indonesisa (alkali), Pilipinasa (alkali), Arabisa (قَلَوِيّ “kalawiy”), Niponsa (アルカリ “arukari”), Turkisa (alkali), Koreasa (알칼리 “alkali”), Parsisa (قلیا “kaliya”), Swahilisa (alkali)					TRUE	s: álcali	Alkali	n: alcali	щёлочь	名: 碱	सं: क्षार	اسم: قَلَوِيّ		
alkimi	root	b	n: alchemy	s: alĥemio, alkemio		kimika			Doycisa (Alchemie), Englisa (alchemy), Espanisa (alquimia), Fransesa (alchimie), Rusisa (алхимия “alhimiya”), Hindi (कीमिया “kimiya”), Arabisa (كيمياء “kimiya”), Parsisa (کیمیا “kimiya”), Indonesisa (alkimia), Pilipinasa (alkimiya), Turkisa (alşimi)					TRUE	s: alquimia	Alchemie	n: alchimie	алхимия 	名: 炼金术	सं: कीमिया	اسم: خِيمِيَاء		
alkoba	root	b	n: alcove, recess, niche, nook	s: alkovo, niĉo		kostruixey			Arabisa (القبة “alkuba”), Doycisa (Alkoven), Englisa (alcove), Fransesa (alcôve), Rusisa (альков “alkov”), Pilipinasa (alkoba), Niponsa (アルコーブ “arukobu”)					TRUE	s: nicho, rincón, hueco		n: alcôve, niche, renfoncement	альков 	名: 凹室, 壁龛	सं: ताक़, आला	اسم: كُوَّة، تَجْوِيف		
alkoholfilya	derived	b	n: alcoholism	s: alkoholismo, drinkemo					alkohol + -fil + -ya					FALSE	s: alcoholismo		n: alcoolisme		名: 酗酒, 酒瘾	सं: शराबखोरी	اسم: إِدْمَان الكُحُول		
alkoholfilyen	derived	b	n: alcoholic (_person_)	s: alkoholulo, drinkemulo					alkohol + -fil + -yen					FALSE	s: alcohólico		n: alcoolique (_personne_)		名: 酗酒者, 酒鬼	सं: शराबी, पियक्कड़	اسم: مُدْمِن كُحُول، سِكِّير		
almari	root	b	n: cabinet, cupboard	s: ŝranko		mubile			Espanisa (armario), Indonesisa (lemari), Hindi (अलमारी “almari”)					TRUE	s: armario		n: placard, armoire		名: 橱柜, 柜子	सं: अलमारी	اسم: خِزَانَة، دُولَاب		
almasi	root	b	n: diamond	s: diamanto		petra			Rusisa (алмаз “almaz”), Arabisa (ألماس “ʾalmās”), Swahilisa (almasi), Parsisa (الماس “almâs”), Turkisa (elmas)					TRUE	s: diamante	Diamant	n: diamant	алмаз, бриллиант	名: 钻石, 金刚石	सं: हीरा	اسم: أَلْمَاس، مَاس		
almasihalke	derived	b	n: diamond ring	s: diamanta ringo		jawheri			almasi + halke					FALSE	s: anillo de diamante		n: bague en diamant		名: 钻戒, 钻石戒指	सं: हीरे की अंगूठी	اسم: خَاتَم أَلْمَاس		
alodexa	derived	b	n: abroad, foreign country	s: eksterlando, fremdlando					alo + dexa					FALSE	s: extranjero		n: étranger		名: 外国, 国外	सं: विदेश	اسم: الخَارِج، بَلَد أَجْنَبِيّ		
aloe	root	b	n: aloe (vera)	s: aloo		planta			Englisa (aloe), Espanisa (aloe), Fransesa (aloès), Rusisa (алоэ “aloe”), Doycisa (Aloe), Indonesisa (aloe), Hindi (एलो “elo”, अलो “alo”), Niponsa (アロエ “aroe”), Koreasa (알로에 “aloe”), Parsisa (الوا / آلوا “alva”)					TRUE	s: áloe (vera), sábila	Aloe	n: aloès, aloe vera	алоэ	名: 芦荟	सं: एलो (वेरा), घृतकुमारी	اسم: أَلُوِيَه (فِيرَا)، صَبَّار		
