Word	slug_mod	Category	WordClass	VerbTransitivity	OfficialWord	TranslationEng	SearchTermsEng	TranslationEpo	TranslationSpa	TransNote	TranslationDeu	Synonyms	Antonyms	Example	Tags	LexiliAsel	See Also	TranslationFra	TranslationRus	TranslationZho	
-hole		affix	b xfik		TRUE	sheath, holder		-ingo	porta-							Am oko hole.					
-ible		affix	t xfik		TRUE	which can be, -ible, -able		-eble	que puede ser, -ible, -able, apto para							Am oko ible.					
-ina		affix	b xfik		TRUE	-ine		-eno, -ino (_hormonoj, ktp_)	-ina (_sustancia_)							Englisa (caffeine), Putunhwa (咖啡因 “kafeyyin”), Hindi (कैफीन, कैफ़ीन “kefin”), Espanisa (cafeína), Arabisa (كَافِيِين “kafiyin”), Fransesa (caféine), Rusisa (кофеин “kofein”), Indonesisa (kafein), Doycisa (Coffein, Koffein), Niponsa (カフェイン “kafein”), Telugusa (కెఫిన్ “kefin”), Turkisa (kafein), Koreasa (카페인 “kapein”), Vyetnamsa (cafein, cà-phê-in), Parsisa (کافئین “kâfein”), Swahilisa (kafeini), Pilipinasa (caffeine)					
-ismo		affix	b xfik		TRUE	-ism		-ismo	-ismo (_ideología_)							Englisa (-ism), Doycisa (-ismus), Fransesa (-isme), Espanisa (-ismo), Rusisa (-изм “-izm”), Parsisa (ـیسم- “-ism”), Turkisa (-izm), Indonesisa (-isme), Pilipinasa (-ismo), Niponsa (-イズム “-izumu”), Elinisa (-ισμός “-ismos”)			-изм		
-ista		affix	b xfik		TRUE	-ist		-isto (_nur rilate al -ismo_)	-ista (_partidario_)							Englisa (-ist), Doycisa (-ist), Fransesa (-iste), Espanisa (-ista), Rusisa (-ист “-ist”, -истка “-istka”), Indonesisa (-is), Pilipinasa (-ista), Turkisa (-ist), Parsisa (یست- “-ist”), Elinisa (-ιστής “-istis”)			-ист, -истка		
-itis		affix	b xfik		TRUE	inflammation		-inflamo, -ito	-itis, inflamación de							Am oko itis.			 -ит, воспаление		
-je		affix	b xfik		TRUE	degree, level, measurement		grado, nivelo, mezuro	-aje (_grado, nivel, medida_), -ad, -ud, -ura							Am oko daraje.					
-kal		affix	t xfik		TRUE	without sufficient, -less		sen-, malplena, malplene	a(n)-, sin (suficiente), carente de, libre de				-pul			Am oko kal.			без-, бес-		
-kamer		affix	b xfik		TRUE	room		-ĉambro, -ejo	cuarto de, habitación de, (re)cámara de							Am oko kamer.					
-kaxa		affix	b xfik		TRUE	case, container		-ujo	estuche de, caja de, contenedor de							Am oko kaxa.					
-kef		affix	b xfik		TRUE	chief, head, boss, lead, master		-estro	jefe, dirigente							Am oko kef.					
-kolordo		affix	t xfik		TRUE	shade of color		nuanco de kolor	de color (de)			-sim				kolor + -do					
-krasi		affix	b xfik		TRUE	(type of) government		(tipo de) registraro, -kratio	-cracia, -arquía, (tipo de) gobierno							Am oko krasi.					
-kumax		affix	b xfik		TRUE	piece of cloth (_for specific purpose_)		tuko (_por specifa celo_)	(trozo de) tela, trapo, paño, bayeta							Am oko kumax.					
-lari		affix	b xfik		TRUE	collective group		-aro	grupo colectivo				-mon			Am oko lari.					
-laye		affix	t xfik		TRUE	worthy		-inda, -inde	digno de, que merece							Am oko laye.					
-lexi		affix	b xfik		TRUE	word		vorto	palabra, término, -ónimo							Am oko lexi. 					
-li		affix	t xfik		TRUE	relating to, of		-a, de, rilate al	relacionado con, de, -al, -il, -ico							Fransesa (-el, -elle), Espanisa (-al), Englisa (-al, -ly), Doycisa (-lich), Rusisa (-ильный “-ilniy”, -альный “-alniy”), Turkisa (-li)					
-logi		affix	b xfik		TRUE	specialty, science (of), philosophy (of), study (of), art (of)	science of, philosophy of, study of, art of	-logio, fako, -scienco, filozofio, -studo, -arto	-logía, -ica(s), -grafía, -ía							Am oko logi.			-логия, -ведение, -знание		
-mansi		affix	b xfik		FALSE	-mancy		-mancio	-mancia, -mancía							Am oko mansi.					
-maso		affix	b xfik		TRUE	meat		-aĵo, karno de	carne de							Am oko maso.					
-maxina		affix	b xfik		TRUE	machine, device, apparatus (_attached to nouns_)		maŝino, aparato (_fiksita al substantivoj_)	-dor(a) (_máquina de/para; agregado a sustantivos_)	kompara: -tora						Am oko maxina.					
-medis		affix	b xfik		TRUE	medical practice		medicino	-iatría (_práctica médica_), -logía		Arztpraxis					Am oko medis.					
-meter		affix	b xfik		TRUE	measuring device, tool		-mezurilo, -metro	dispositivo para medir							Am oko meter.					
-mo		affix	m xfik		TRUE	_adverb of degree and manner_		_adverbo de grado kaj maniero_	-mente (_para describir adjetivos y adverbios_)							Fransesa (-ment), Espanisa (-mente, como), Rusisa (-о “-o”)					
-mon		affix	b xfik		TRUE	element, unit (_of a whole_)		-ero, elemento, unuo	artículo, elemento, parte (distinguible), pieza, unidad (_de un todo_), componente, partícula				-lari			Am oko mon.					
-mosem		affix	b xfik		TRUE	season		sezono	estación, temporada							Am oko mosem.					
-musi		affix	t xfik		TRUE	which must		kiu devas ___i	que tiene que							Am oko musi.					
-ne		affix	t xfik		TRUE	_in an active state or process of_		_en aktiva stato de_, -anta, -ante	-(a)nte, -ente, en estado o proceso activo de							Englisa (-ing), Fransesa (-ant), Espanisa (-ando), Doycisa (-end), Rusisa (-ный “-niy”), Turkisa (-en, -an)					
-osis		affix	b xfik		TRUE	pathology		patologio, -ozo	patología (_conjunto de síntomas_)							Am oko osis.					
-pel		affix	b xfik		TRUE	drive to, make want to, cause to want to	drive, drive to, make want, make want to	-emo	impulso; hacer querer, llevar a							Am oko pel.					
-ple		affix	t xfik		TRUE	-uble, -iple, -uple		-obla; -oble	-ble, -(u)ple, -iple				of-			Englisa (double, triple), Fransesa (double), Espanisa (doble, triple), Doycisa (doppelt), Indonesisa (dobêl), Parsisa (دوبل “dubl”), Turkisa (duble)					
-pul		affix	t xfik		TRUE	with enough or more than enough, -ful, -ous		-plena; -plene	con suficiente o más que suficiente, -oso, -do (_sentido o percibido_), -to, -so, -cho, -ento				-kal			Am oko pul.					
-sa		affix	b xfik		TRUE	language, animal sounds		lingvo, sono de besto	idioma, lengua, sonido de animal; hablar idioma, hablar lengua, hacer sonido de							Am oko basa.					
-sim		affix	t xfik		TRUE	-like, -ish (_added to nouns_)	-like, like, -ish, ish	-eca; -ece	parecido a, -esco (_agregado a sustantivos_), -do (_con aspecto de_), -to, -so, -cho, -ento							Turkisa (-si). Am oko sim.					
-su		affix	t xfik		TRUE	_possessive adjective marker_		_markilo de poseda adjektivo_, -a	_'s_ (_marcador de adjetivo posesivo para pronombres_)			su, de				Am oko su.					
-tim		affix	b xfik		TRUE	team, body		teamo, grupo, -istaro, -antaro	equipo, grupo							Am oko tim.					
-tora		affix	b xfik		TRUE	-ator, machine, device, apparatus, appliance (_attached to verbs_)		-ilo, maŝino, aparato	-dor(a) (_máquina; agregado a verbos_)	kompara: -maxina						Am oko tora.					
-tul		affix	b xfik		TRUE	tool		-ilo	herramienta			-meter, -fon, -tora				Am oko tul.					
-xey		affix	b xfik		TRUE	thing, substance		-aĵo	cosa, objeto, artículo, muestra de, -ada, -ismo, -ción							Am oko xey.					
-ya		affix	b xfik		TRUE	_abstract nouns_		-o, -eco, _abstraktaj substantivoj_	-(d)ad, -tad, -(er)ía, -ez(a), -ura, -ud, propiedad de, cualidad de; ser (_con preposiciones y adjetivos_)	gramati: inharelexi#xafefikso_-ya						Arabisa (ية “-iyya”), Hindi (-य “-ya”), Espanisa (-ía), Rusisa (-ия “-iya”), Englisa (-y)					
-yen		affix	b xfik		TRUE	being (_any animate being_), (personified) object		-ulo (_iu ajn vivulo_), -anto, -isto, (personigita) objekto	-ano (_gentilicio_), -ense, -és, -ita, -eno, -ino, -o, -do (_taxón_), -dor (_agente_), -(a)nte, -ente, -ero							Putunhwa (员 “yuán”), Englisa (-ian), Fransesa (-ien, -ienne), Swahilisa (yeye - te)					
-yum		affix	t xfik		TRUE	_ordinal number_		_vicnomtra numeralo_, -a	número ordinal, -ésimo							Fransesa (-ième), Parsisa (ـم‎ “-um”)					
(fe) ban leli watu		phrase	jm p		FALSE	at some point in the past, once upon a time		je iu estinta fojo	en cierto punto del pasado, hubo una vez							fe, ban, le + -li, watu					
(fe) ban mara		phrase	jm p		FALSE	on a certain occasion, once, once upon a time		iufoje, je iu fojo	cierta ocasión, una vez, había una vez							fe, ban, mara					
(fe) ban xali watu		phrase	jm p		FALSE	at some point in the future, eventually		je iu estonta fojo	en cierto punto del futuro, eventualmente							fe, ban, xa + -li, watu					
(fe) dua mara		phrase	jm p		FALSE	twice, two times		dufoje	dos veces							fe, dua, mara					
(fe) duli mara		phrase	jm p		FALSE	at times, sometimes, occasionally, on occasion, from time to time, once in a while		iafoje, iufoje, kelkfoje, kelkafoje, multfoje, plurfoje	a veces, de vez en cuando, ocasionalmente							fe, du- + -li, mara					
(fe) dumara		phrase	jm p		FALSE	at times, sometimes, occasionally, on occasion, from time to time, once in a while		iafoje, iufoje, kelkfoje, kelkafoje, multfoje, plurfoje	a veces, de vez en cuando, ocasionalmente							fe, du- + mara					
(fe) hin noce		phrase	jm.p		FALSE	tonight		ĉinokte, ĉi tiu nokton	esta noche, hoy en la noche							fe, hin, noce					
(fe) ner leya		phrase	jm p		FALSE	in the near past, recently		lastatempe, antaŭ nelonge, freŝdate	en el pasado reciente, recientemente, recién			nerleli				fe, ner, le + -ya					
(fe) ner or teli xaya		phrase	jm p		FALSE	sooner or later, eventually		pli aŭ malpli baldaŭ	tarde o temprano							fe, ner, or, teli, xa + -ya					
(fe) ner xaya		phrase	jm p		FALSE	in the near future, soon		en la proksima estonteco, post nelonge, baldaŭ	en el futuro cercano, pronto			nerxali				fe, ner, xa + -ya					
(fe) nunli din		phrase	jm p		FALSE	nowadays		nune, nuntage	hoy (en) día							fe, nun + -li, din					
(fe) tiga mara		phrase	jm p		FALSE	thrice		trifoje	tres veces							fe, tiga, mara					
(fe) un mara		phrase	jm p		FALSE	once, one time		unufoje	una vez							fe, un, mara					
a		root	il		TRUE	ah (_denotes surprise or wonder_)		ha	ah, gua, (h)uy, oh		ah (_Ausdruck der Überraschung oder der Verwunderung_)				intrelogalexi	Putunhwa (啊 “a”), Englisa (ah), Doycisa (ah), Espanisa (ah), Rusisa (ах “ah”, a “a”)		ah	а	啊	
ababil		root	b		FALSE	swallow (_bird_), martin, _Hirundinidae_		hirundo	golondrina, avión, _Hirundinidae_						hewan, piu	Hindi (अबाबील “ababil”), Parsisa (ابابیل “abâbil”)		hirondelle, martinet, _Hirundinidae_	ласточка, Ласточковые		
abakus		root	b		TRUE	abacus		abako	ábaco						tul	Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Rusisa (абак “abak”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)		boulier (compteur), abaque	абак		
abces		root	b		FALSE	abscess, boil		absceso	absceso						medis	Englisa (abscess), Espanisa (absceso), Fransesa (abcès), Rusisa (абсцесс “abstsess”), Doycisa (Abszess), Portugalsa (abscesso), Italisa (ascesso), Indonesisa (abses), Pilipinasa (abseso), Parsisa (بسه “âbse”), Turkisa (apse), Vyetnamsa (áp-xe)		abcès	абсцесс		
abece		derived	b.oj		TRUE	alphabet, ABCs; alphabetize		aboco, alfabeto; alfabetigi	alfabeto, abecedario, abecé; alfabetizar		Alphabet, Abc				eskolya	a + ibe + ice		alphabet	алфавит, азбука		
Abigail		proper word	su n		FALSE	Abigail		Abigail	Abigaíl						name	Englisa (Abigail), Espanisa (Abigaíl), Fransesa (Abigail), Rusisa (Авигея “Avigeya”), Doycisa (Abigail), Indonesisa (Abigail), Pilipinasa (Abigail), Hindi (अबीगैल “Abigel”), Telugusa (అబీగయీలు “Abigayilu”), Arabisa (أَبِيجَايِلُ “Abijayil”), Swahilisa (Abigaili), Parsisa (ابیجایل “Abijail”), Turkisa (Avigayil), Putunhwa (亚比该 “Yabigay”), Koreasa (아비가일 “Abigail”), Niponsa (アビガイル “Abigairu”), Vyetnamsa (A-bi-ga-in)		Abigail	Авигея		
abil		root	t; f.sah		TRUE	able, capable, capably; be able, can		pova, kapabla; povi, kapabli	capaz; capazmente; poder, ser capaz de		können, vermögen			Kam yu abil na suyon?	modaliya	Englisa (able), Espanisa (hábil, habilidad), Fransesa (-able, habileté), Turkisa (-abil), Italisa (abile), Pilipinasa (abilidad), Rumanisa (abil), Arabisa (⁧قَابِل⁩ “qābil”), Parsisa (qâbil)		pouvoir	способный; мочь	識得	
abil na kari		phrase	b.oj		FALSE	afford		povi aĉeti	poder comprar							abil, na, kari		se permettre (d'acheter)			
abilgi		derived	b.oj		FALSE	enable		povigo; povigi	posibilitar, habilitar, activar, permitir, propiciar							abil + -gi					
abilya		derived	b		TRUE	ability, capacity, capability, means		povo, kapablo	habilidad, capacidad							abil + -ya					
abone		root	b.oj		TRUE	subscription; subscribe (to)		abono; aboni	suscripción, abono; suscribirse (a), abonarse (a)							Espanisa (abono), Fransesa (abonnement; abonner; abonné), Rusisa (абонемент “abonement”), Doycisa (Abonnement), Indonesisa (abonemen; abone), Turkisa (abonelik, abonman, abone), Parsisa (آبونمان “âbonmân”)		abonnement; abonner	подписка, абонемент; подписываться, абонировать		
aboneyen		derived	b		FALSE	subscriber		abonanto	su(b)scriptor, abonado							abone + -yen		abonné, abonnée	подписчик, подписчица, абонент, абонентка		
abruto		root	t		TRUE	abrupt, sudden; abruptly, suddenly, all of a sudden		abrupta, subita; abrupte, subite	abrupto, repentino; abruptamente, repentinamente, de repente		plötzlich, auf einmal, jäh					Englisa (abrupt), Fransesa (abrupt), Doycisa (abrupt), Espanisa (abrupto)		soudainement	вдруг	突然	
abrutoya		derived	b		TRUE	suddenness, abruptness		subiteco, abrupteco	lo repentino, brusquedad		Plötzlichkeit, Abruptheit					abruto + -ya					
absorbi		root	b.oro	 	TRUE	absorption; absorb		sorbo, absorbo; sorbi, absorbi, sorbiĝi, absorbiĝi	absorción; absorber; absorberse							Englisa (absorption, absorbing; absorb), Espanisa (absorción; absorber), Fransesa (absorption; absorber), Rusisa (абсорбция “absorbtsiya”), Doycisa (Absorption; absorbieren), Portugalsa (absorção; absorver), Italisa (assorbimento; assorbire), Indonesisa (absorpsi), Pilipinasa (absorpsiyon), Turkisa (absorpsiyon)		absorption; absorber	поглощение, абсорбция; поглощать, всасывать		
absorbiabil		derived	t		FALSE	absorbent		sorba, sorbema; sorbe, sorbeme	absorbente, hidrófilo							absorbi + -abil					
absorbigi		derived	b.oj		FALSE	drench, saturate, soak		(tra)sorbigo, trempado; (tra)sorbigi, trempi	empapada, enpapamiento, ensopada, remojo; empapar, ensopar, remojar							absorbi + -gi					
absorbine		derived	t		FALSE	absorbent		sorba, sorbema; sorbe, sorbeme	absorbente, hidrófilo							absorbi + -ne					
absurdo		root	t		FALSE	absurd, ridiculous, preposterous; absurdly, ridiculously, preposterously		absurda; absurde	absurdo, ridículo, ilógico, increíble; absurdamente							Englisa (absurd), Espanisa (absurdo), Fransesa (absurde), Rusisa (абсурдный “absurdniy”), Doycisa (absurd), Portugalsa (absurdo), Italisa (assurdo), Indonesisa (absurd), Pilipinasa (absurdo, absurd), Parsisa (ابزورد “abzurd”, آبسوردگی “absurdegi” - absurdoya), Turkisa (absürt)		absurde, insensé, ridicule; absurdement, insensément, ridiculement	нелепый, абсурдный; нелепо, абсурдно		
absurdoxey		derived	b		FALSE	absurdity (_count noun_)		absurdaĵo	absurdidad (_dicho o hecho absurdo_), ridiculez							absurdo + -xey					
absurdoya		derived	b		FALSE	absurdity (_noncount noun_)		absurdeco	absurdidad (_cualidad_), ridiculez							absurdo + -ya					
abyasa		root	b.oj		TRUE	rehearsal, practice; practice, rehearse		ekzerco; ekzerci	ensayo, práctica, entrenamiento; ensayar, practicar, entrenar		Übung, Probe; üben, proben					Hindi (अभ्यास “abyas”), Karnatakasa (ಅಭ್ಯಾಸ “abyāsa”)					
abyasado		derived	t		FALSE	rehearsed		ekzercita; ekzercite	ensayado, practicado							abyasa + -do					
acidi		root	b		TRUE	acid		acido	ácido							Englisa (acid, acidic), Espanisa (ácido), Fransesa (acide), Italisa (acido, acidi), Pilipinasa (asido), Turkisa (asit), Parsisa (اسید “asid”), Swahilisa (asidi)		acide			
acidigi		derived	b.oj		FALSE	acidification; acidify		acidigo; acidigi	acidificación; acidificar							acidi + -gi					
acidihamir		derived	b		FALSE	sourdough		acida pasto	masa madre (_levadura_), masa fermentada							acidi + hamir	Turkisa (ekşi hamur), Englisa (sourdough), Doycisa (Sauerteig)	levain panaire			
acidije		derived	b		FALSE	acidity		acideco (_grado_)	acidez							acidi + -je					
acidipul		derived	t		FALSE	acidic, sour		acida; acide	agrio, ácido						xetocu	acidi + -pul					
acidiroti		derived	b		FALSE	sourdough (bread)		acida pano	pan (de masa madre), pan de levadura natural, pan sin levadura						yamxey	acidi + roti	Parsisa (نان خمیر ترش), Indonesisa (roti asam)	pain au levain			
acidiya		derived	b		FALSE	acidity, acidness, sourness		acideco (_stato_)	acidez							acidi + -ya		acidité			
acum		root	b.oj.ru		TRUE	sneeze; sneeze		terno; terni	estornudo; estornudar		Nieser; niesen					kwasilexi - Arabisa (عَطْسَةٌ “atsatun”), Doycisa (hatschi), Englisa (achoo), Fransesa (atchoum), Hindi, Niponsa (ハクション “hakuxon”), Koreasa (에취 “ecwi”), Parsisa, Pilipinasa (hatsing), Espanisa (achís, achú), Turkisa (hapşu), Tamilsa, Vyetnamsa (hắt xì), ji max to		éternuement, atchoum; éternuer, atchoumer	чиханье; чихать		
acumgi		derived	b.oj		TRUE	make sneeze, cause to sneeze		ternigo; ternigi	hacer estornudar		Niesen auslösen			Luminpul sola acumgi te.		acum + -gi					
adabu		root	b		TRUE	politeness, courtesy		ĝentileco	cortesía, buenos modales, buena educación, cordialidad, afabilidad							Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)					
adabufil		derived	t		FALSE	polite, courteous; politely, courteously		ĝentila; ĝentile	respetuoso, educado, correcto, cortés, amable			adabupul				adabu + -fil					
adabukal		derived	t		FALSE	impolite, rude		malĝentila; malĝentile	descortés, maleducado, grosero; descortésmente, groseramente			adabunenfil	adabupul			adabu + -kal					
adabukalya		derived	t		FALSE	impoliteness, rudeness		malĝentileco	descortesía, falta de civismo, grosería, indecencia, rudeza			nenadabu				adabu + -kal + -ya					
adabunenfil		derived	t		FALSE	impolite, rude		malĝentila; malĝentile	descortés, maleducado, grosero; descortésmente, groseramente			adabukal	adabufil			adabu + nen- + -fil					
adabupul		derived	t		TRUE	polite, courteous; politely, courteously		ĝentila; ĝentile	cortés, respetuoso, educado, correcto; cortésmente							adabu + -pul					
Adam		proper word	su n		FALSE	Adam		Adamo	Adán						name	Englisa (Adam), Espanisa (Adán), Fransesa (Adam), Rusisa (Адам “Adam”), Doycisa (Adam), Indonesisa (Adam), Pilipinasa (Adan), Hindi (आदम “Adam”), Telugusa (ఆదాము “Adamu”), Arabisa (آدم “Adam”), Swahilisa (Adamu), Parsisa (آدم “Âdam”), Turkisa (Adem), Putunhwa (亚当 “Yadang”, 阿丹 “Adan”), Koreasa (아담 “Adam”), Niponsa (アダム “Adamu”), Vyetnamsa (A-đam)		Adam	Адам		
adasi		root	b		TRUE	lentil		lento	lenteja, _Lens culinaris_						sabzi, yamxey	Arabisa (عَدَس “adas”), Parsisa (عدس “adas”), Swahilisa (adesi)					
adasisupa		derived	b		FALSE	lentil soup		lenta supo	sopa de lentejas							adasi + supa					
adate		root	b.oro		TRUE	adaptation; adapt; adapt (oneself)		adapto; adaptiĝi, adapti	adaptación; adaptar; adaptarse		Anpassung, Adaptierung; anpassen, adaptieren			Te musi na adate cel sesu neo ergoli hwanjin.		Doycisa (adaptieren), Englisa (adaptation, adapt), Espanisa (adaptar), Fransesa (adapter), Rusisa (адаптировать “adaptirovat”), Indonesisa (adaptasi), Turkisa (adapte)		adaptation; adapter			
adateible		derived	t		FALSE	adaptable		adaptebla; adapteble	adaptable							adate + -ible		adaptable			
adatexey		derived	b		FALSE	adaptation (_count noun_)		adaptaĵo	adaptación							adate + -xey		adaptation (_nom dénombrable_)			
Aden		proper word	su n		FALSE	Aden		Adeno	Adén (_golfo_), golfo de Somalia							Arabisa (عَدَن “Adan”), Espanisa (Adén), Fransesa (Aden), Doycisa (Aden), Indonesisa (Aden), Pilipinasa (Aden), Turkisa (Aden), Vyetnamsa (Aden), Rusisa (Аден “Aden”), Hindi (अदन “Adan”), Swahilisa (Aden), Parsisa (عدن “Aden”), Putunhwa (亚丁 “Yading”), Koreasa (아덴 “Aden”), Niponsa (アデン “Aden”)		Aden	Аден		
adhesi		root	b.oro		TRUE	adhesion; adhere, stick		adhero; adheri, adheriĝi, (al)gluiĝi, (al)glui	adhesión; adherir, pegar; adherirse, pegarse							Englisa (adhesion), Espanisa (adhesión), Fransesa (adhésion), Rusisa (адгезия “adgeziya”), Doycisa (Adhäsion), Indonesisa (adesi), Turkisa (adezyon)		adhésion; adhérer	адгезия, прилипание; прилипать		
adhesiabil		derived	t		FALSE	adhesive, sticky		adhera; adhere	adhesivo, pegajoso							adhesi + -abil		adhérent	липкий, клейкий, адгезионный		
adhesiente		derived	b		FALSE	adhesive		adherigaĵo	adhesivo (_sustancia_), pegamento							adhesi + -ente		adhésif (_matériau_)			
adhesine		derived	t		FALSE	adhesive, sticky		adhera; adhere	adhesivo, pegajoso							adhesi + -ne		adhérent	липкий, клейкий, адгезионный		
adhesixey		derived	t		FALSE	adhesion (_count noun_)		adheraĵo	adherencia							adhesi + -xey		adhésion (_nom dénombrable_)			
adil		root	t		TRUE	fair, just; fairly, justly		justa; juste	justo, imparcial; justamente, imparcialmente		gerecht, fair		posadil, nenadil			Arabisa (عادل “adil”), Parsisa (عادل “adel”), Indonesisa (adil), Turkisa (adil), Swahilisa (adili)		juste, équitable; justement, équitablement			
adilya		derived	b		TRUE	fairness, justice		justeco	justicia, imparcialidad				posadilya, nenadilya			adil + -ya		justice			
admiral		root	b		TRUE	admiral		admiralo	almirante						insan	Englisa (admiral), Espanisa (almirante), Fransesa (amiral), Rusisa (адмирал “admiral”), Doycisa (Admiral), Pilipinasa (almirante), Hindi (ऐडमिरल “edmiral”), Arabisa (أَمِيرُ البَحْر “amiru l-bahr”, أَدْمِيرَال “admiral”), Telugusa (అడ్మిరల్ “admiral”), Turkisa (oramiral), Swahilisa (admirali)		amiral	адмирал		
admiralya		derived	b		FALSE	admiralty		admiraleco	almirantazgo							admiral + -ya		amirauté			
adola		root	b		TRUE	muscle		muskolo	músculo						jismulogi	Arabisa (عضلة “adala”), Parsisa (عضله “azole”), Turkisa (adale)		muscle			
adolabala		derived	t		FALSE	brawny		muskola, fortika	fornido, fuerte			adolapul				adola + bala					
adolabalaya		derived	b		FALSE	brawn		muskoleco, fortikeco	fuerza, músculo			adolaya				adola + bala + -ya					
adolakal		derived	t		FALSE	scrawny		senmuskola	flac(uch)o, escuálido, esquelético				adolapul			adola + -kal					
adolapul		derived	t		FALSE	muscular, brawny		muskola	musculoso, fornido, fuerte, cachas, mamado			adolabala	adolakal			adola + -pul					
adolaya		derived	b		FALSE	brawn		muskoleco	fuerza, músculo			adolabalaya				adola + -ya					
adopsi		root	b.oj		TRUE	adoption; adopt		adopto; adopti	adopción; adoptar							Englisa (adoption), Fransesa (adoption), Doycisa (Adoption), Espanisa (adopción), Indonesisa (adopsi), Pilipinasa (adopsiyon)		adoption; adopter			
adopsibyuro		derived	b		FALSE	adoption agency		adoptejo	agencia de adopción							adopsi + byuro					
adopsili		derived	t		FALSE	adoptive, adopted, by adoption		adopta, adoptinta, adoptita	adoptivo							adopsi + -li		adoptif			
adopsiyen		derived	b		FALSE	adoptive parent		adoptinto, adoptinta patr(in)o, adoptintaj gepatroj	padre adoptivo							adopsi + -yen					
adrenalin		root	b		TRUE	adrenaline, epinephrine		adrenalino, epinefrino	adrenalina, epinefrina							Arabisa (أَدْرِينَالِين‎ “ʾadrīnālīn”), Englisa (adrenaline), Fransesa (adrénaline), Doycisa (Adrenalin), Hindi (एड्रेनालाईन “eḍrenālāīn”), Niponsa (アドレナリン “adorenarin”), Koreasa (아드레날린 “adeurenallin”), Rusisa (адреналин “adrenalin”), Espanisa (adrenalina), Swahilisa (adrenalini), Pilipinasa (adrenalina), Turkisa (adrenalin), Vyetnamsa (adrenaline)		adrénaline	адреналин, эпинефрин		
