Word,Category,WordClass,VerbTransitivity,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TransNote,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,See Also,TranslationFra,TranslationRus,TranslationZho
-ina,affix,b xfik,,TRUE,-ine,,"-eno, -ino (_hormonoj, ktp_)",-ina (_sustancia_),,,,,,,"Englisa (caffeine), Putunhwa (咖啡因 “kafeyyin”), Hindi (कैफीन, कैफ़ीन “kefin”), Espanisa (cafeína), Arabisa (كَافِيِين “kafiyin”), Fransesa (caféine), Rusisa (кофеин “kofyeyín”), Indonesisa (kafein), Doycisa (Coffein, Koffein), Niponsa (カフェイン “kafein”), Telugusa (కెఫిన్ “kefin”), Turkisa (kafein), Hangusa (카페인 “kapein”), Vyetnamsa (cafein, cà-phê-in), Parsisa (کافئین “kâfein”), Swahilisa (kafeini), Pilipinasa (caffeine)",,,,
-ismo,affix,b xfik,,TRUE,-ism,,-ismo,-ismo (_ideología_),,,,,,,"Englisa (-ism), Doycisa (-ismus), Fransesa (-isme), Espanisa (-ismo), Rusisa (-изм “-yízm”), Parsisa (ـیسم- “-ism”), Turkisa (-izm), Indonesisa (-isme), Pilipinasa (-ismo), Niponsa (-イズム “-izumu”), Elinisa (-ισμός “-ismos”)",,,,
-ista,affix,b xfik,,TRUE,-ist,,-isto (_nur rilate al -ismo_),-ista (_partidario_),,,,,,,"Englisa (-ist), Doycisa (-ist), Fransesa (-iste), Espanisa (-ista), Rusisa (-ист “-yíst”, -истка “-yístka”), Indonesisa (-is), Pilipinasa (-ista), Turkisa (-ist), Parsisa (یست- “-ist”), Elinisa (-ιστής “-istis”)",,,,
-itis,affix,b xfik,,TRUE,inflammation,,"-inflamo, -ito","-itis, inflamación de",,,,,,,Am oko itis.,,,,
-je,affix,b xfik,,TRUE,"degree, level, measurement",,"grado, nivelo, mezuro","-aje (_grado, nivel, medida_), -ad, -ud, -ura",,,,,,,Am oko daraje.,,,,
-kal,affix,t xfik,,TRUE,"without sufficient, -less",,"sen-, malplena, malplene","a(n)-, sin (suficiente), carente de, libre de",,,,-pul,,,Am oko kal.,,,,
-kamer,affix,b xfik,,TRUE,room,,"-ĉambro, -ejo","cuarto de, habitación de, (re)cámara de",,,,,,,Am oko kamer.,,,,
-kaxa,affix,b xfik,,TRUE,"case, container",,-ujo,"estuche de, caja de, contenedor de",,,,,,,Am oko kaxa.,,,,
-kef,affix,b xfik,,TRUE,"chief, head, boss, lead, master",,-estro,"jefe, dirigente",,,,,,,Am oko kef.,,,,
-kolordo,affix,t xfik,,TRUE,shade of color,,nuanco de kolor,tono de color,,,,,,,Am oko kolor.,,,,
-krasi,affix,b xfik,,TRUE,(type of) government,,"(tipo de) registraro, -kratio","-cracia, -arquía, (tipo de) gobierno",,,,,,,Am oko krasi.,,,,
-kumax,affix,b xfik,,TRUE,piece of cloth (_for specific purpose_),,tuko (_por specifa celo_),"(trozo de) tela, trapo, paño, bayeta",,,,,,,Am oko kumax.,,,,
-lari,affix,b xfik,,TRUE,collective group,,-aro,grupo colectivo,,,,-mon,,,Am oko lari.,,,,
-laye,affix,t xfik,,TRUE,worthy,,"-inda, -inde","digno de, que merece",,,,,,,Am oko laye.,,,,
-lexi,affix,b xfik,,TRUE,word,,vorto,"palabra, término, -ónimo",,,,,,,Am oko lexi. ,,,,
-li,affix,t xfik,,TRUE,"relating to, of",,"-a, de, rilate al","relacionado con, de, -al, -il, -ico",,,,,,,"Fransesa (-el, -elle), Espanisa (-al), Englisa (-al, -ly), Doycisa (-lich), Rusisa (-ильный “-yílyniy”, -альный “-alyniy”), Turkisa (-li)",,,,
-logi,affix,b xfik,,TRUE,"specialty, science (of), philosophy (of), study (of), art (of)","science of, philosophy of, study of, art of","-logio, fako, -scienco, filozofio, -studo, -arto","especialidad, ciencia de, filosofía de, estudio de, arte de",,,,,,,Am oko logi.,,,,
-maso,affix,b xfik,,TRUE,meat,,"-aĵo, karno de",carne de,,,,,,,Am oko maso.,,,,
-maxina,affix,b xfik,,TRUE,"machine, device, apparatus (_attached to nouns_)",,"maŝino, aparato (_fiksita al substantivoj_)",-dor(a) (_máquina de/para; agregado a sustantivos_),kompara: -tora,,,,,,Am oko maxina.,,,,
-medis,affix,b xfik,,TRUE,medical practice,,medicino,"-iatría (_práctica médica_), -logía",,Arztpraxis,,,,,Am oko medis.,,,,
-meter,affix,b xfik,,TRUE,"measuring device, tool",,"-mezurilo, -metro",dispositivo para medir,,,,,,,Am oko meter.,,,,
-mo,affix,m xfik,,TRUE,_adverb of degree and manner_,,_adverbo de grado kaj maniero_,-mente (_para describir adjetivos y adverbios_),,,,,,,"Fransesa (-ment), Espanisa (-mente, como), Rusisa (-о “-o”)",,,,
-mon,affix,b xfik,,TRUE,"element, unit (_of a whole_)",,"-ero, elemento, unuo","artículo, elemento, parte (distinguible), pieza, unidad (_de un todo_), componente, partícula",,,,-lari,,,Am oko mon.,,,,
-mosem,affix,b xfik,,TRUE,season,,sezono,"estación, temporada",,,,,,,Am oko mosem.,,,,
-musi,affix,t xfik,,TRUE,which must,,kiu devas ___i,que tiene que,,,,,,,Am oko musi.,,,,
-ne,affix,t xfik,,TRUE,_in an active state or process of_,,"_en aktiva stato de_, -anta, -ante","-(a)nte, -ente, en estado o proceso activo de",,,,,,,"Englisa (-ing), Fransesa (-ant), Espanisa (-ando), Doycisa (-end), Rusisa (-ный “-niy”), Turkisa (-en, -an)",,,,
-osis,affix,b xfik,,TRUE,pathology,,"patologio, -ozo",patología (_conjunto de síntomas_),,,,,,,Am oko osis.,,,,
-pel,affix,b xfik,,TRUE,"drive to, make want to, cause to want to","drive, drive to, make want, make want to",-emo,"impulso; hacer querer, llevar a",,,,,,,Am oko pel.,,,,
-ple,affix,t xfik,,TRUE,"-uble, -iple, -uple",,-obla; -oble,"-ble, -(u)ple, -iple",,,,of-,,,"Englisa (double, triple), Fransesa (double), Espanisa (doble, triple), Doycisa (doppelt), Indonesisa (dobêl), Parsisa (دوبل “dubl”), Turkisa (duble)",,,,
-pul,affix,t xfik,,TRUE,"with enough or more than enough, -ful, -ous",,-plena; -plene,"con suficiente o más que suficiente, -oso",,,,-kal,,,Am oko pul.,,,,
-sa,affix,b xfik,,TRUE,"language, animal sounds",,"lingvo, sono de besto","idioma, lengua, sonido de animal; hablar idioma, hablar lengua, hacer sonido de",,,,,,,Am oko basa.,,,,
-sim,affix,t xfik,,TRUE,"-like, -ish (_added to nouns_)","-like, like, -ish, ish",-eca; -ece,"parecido a, -esco (_agregado a sustantivos_)",,,,,,,Turkisa (-si). Am oko sim.,,,,
-su,affix,t xfik,,TRUE,_possessive adjective marker_,,"_markilo de podesa adjektivo_, -a",(_marcador de adjetivo posesivo_),,,"su, de",,,,Am oko su.,,,,
-tim,affix,b xfik,,TRUE,"team, body",,"teamo, grupo, -istaro, -antaro","equipo, grupo",,,,,,,Am oko tim.,,,,
-tora,affix,b xfik,,TRUE,"-ator, machine, device, apparatus, appliance (_attached to verbs_)",,"-ilo, maŝino, aparato",-dor(a) (_máquina; agregado a verbos_),kompara: -maxina,,,,,,Am oko tora.,,,,
-tul,affix,b xfik,,TRUE,tool,,-ilo,herramienta,,,"-meter, -fon, -tora",,,,Am oko tul.,,,,
-xey,affix,b xfik,,TRUE,"thing, substance",,-aĵo,"cosa, objeto, artículo, muestra de, -ada, -ismo, -ción",,,,,,,Am oko xey.,,,,
-ya,affix,b xfik,,TRUE,_abstract nouns_,,"-o, -eco, _abstraktaj substantivoj_","-(d)ad, -tad, -(er)ía, -ez(a), -ura, -ud, propiedad de, cualidad de",gramati: inharelexi#xafefikso_-ya,,,,,,"Arabisa (ية “-iyya”), Hindi (-य “-ya”), Espanisa (-ía), Rusisa (-ия “-yiya”), Englisa (-y)",,,,
-yen,affix,b xfik,,TRUE,"being (_any animate being_), (personified) object",,"-ulo (_iu ajn vivulo_), -anto, -isto, (personigita) objekto","-ano (_gentilicio_), -ense, -és, -ita, -eno, -ino, -o, -do (_taxón_), -dor (_agente_), -ero",,,,,,,"Putunhwa (员 “yuán”), Englisa (-ian), Fransesa (-ien, -ienne), Swahilisa (yeye - te)",,,,
-yum,affix,t xfik,,TRUE,_ordinal number_,,"_vicnomtra numeralo_, -a","número ordinal, -ésimo",,,,,,,"Fransesa (ième), Parsisa (ـم‎ “-um”)",,,,
(fe) ban leli watu,phrase,jm p,,FALSE,"at some point in the past, once upon a time",,je iu estinta fojo,"en cierto punto del pasado, hubo una vez",,,,,,,"fe, ban, le + -li, watu",,,,
(fe) ban mara,phrase,jm p,,FALSE,"on a certain occasion, once, once upon a time",,"iufoje, je iu fojo","cierta ocasión, una vez, había una vez",,,,,,,"fe, ban, mara",,,,
(fe) ban xali watu,phrase,jm p,,FALSE,"at some point in the future, eventually",,je iu estonta fojo,"en cierto punto del futuro, eventualmente",,,,,,,"fe, ban, xa + -li, watu",,,,
(fe) dua mara,phrase,jm p,,FALSE,"twice, two times",,dufoje,dos veces,,,,,,,"fe, dua, mara",,,,
(fe) duli mara,phrase,jm p,,FALSE,"at times, sometimes, occasionally, on occasion, from time to time, once in a while",,"iafoje, iufoje, kelkfoje, kelkafoje, multfoje, plurfoje","a veces, de vez en cuando, ocasionalmente",,,,,,,"fe, du- + -li, mara",,,,
(fe) dumara,phrase,jm p,,FALSE,"at times, sometimes, occasionally, on occasion, from time to time, once in a while",,"iafoje, iufoje, kelkfoje, kelkafoje, multfoje, plurfoje","a veces, de vez en cuando, ocasionalmente",,,,,,,"fe, du- + mara",,,,
(fe) hin noce,phrase,jm.p,,FALSE,tonight,,"ĉinokte, ĉi tiu nokton","esta noche, hoy en la noche",,,,,,,"fe, hin, noce",,,,
(fe) ner leya,phrase,jm p,,FALSE,"in the near past, recently",,"lastatempe, antaŭ nelonge, freŝdate","en el pasado reciente, recientemente, recién",,,nerleli,,,,"fe, ner, le + -ya",,,,
(fe) ner or teli xaya,phrase,jm p,,FALSE,"sooner or later, eventually",,pli aŭ malpli baldaŭ,tarde o temprano,,,,,,,"fe, ner, or, teli, xa + -ya",,,,
(fe) ner xaya,phrase,jm p,,FALSE,"in the near future, soon",,"en la proksima estonteco, post nelonge, baldaŭ","en el futuro cercano, pronto",,,nerxali,,,,"fe, ner, xa + -ya",,,,
(fe) nunli din,phrase,jm p,,FALSE,nowadays,,"nune, nuntage",hoy (en) día,,,,,,,"fe, nun + -li, din",,,,
(fe) tiga mara,phrase,jm p,,FALSE,thrice,,trifoje,tres veces,,,,,,,"tiga, mara",,,,
(fe) un mara,phrase,jm p,,FALSE,"once, one time",,unufoje,una vez,,,,,,,"fe, un, mara",,,,
a,root,il,,TRUE,ah (_denotes surprise or wonder_),,ha,"ah, gua, (h)uy, oh",,ah (_Ausdruck der Überraschung oder der Verwunderung_),,,,intrelogalexi,"Putunhwa (啊 “a”), Englisa (ah), Doycisa (ah), Espanisa (ah), Rusisa (ах “áh”, a “á”)",,ah,а,啊
ababil,root,b,,FALSE,"swallow (_bird_), martin, _Hirundinidae_",,hirundo,"golondrina, avión, _Hirundinidae_",,,,,,"hewan, piu","Hindi (अबाबील “ababil”), Parsisa (ابابیل “abâbil”)",,,,
abakus,root,b,,TRUE,abacus,,abako,ábaco,,,,,,tul,"Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Rusisa (абак “abák”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)",,,,
abces,root,b,,FALSE,"abscess, boil",,absceso,absceso,,,,,,medis,"Englisa (abscess), Espanisa (absceso), Fransesa (abcès), Rusisa (абсцесс “abstses”), Doycisa (Abszess), Portugalsa (abscesso), Italisa (ascesso), Indonesisa (abses), Pilipinasa (abseso), Parsisa (بسه “âbse”), Turkisa (apse), Vyetnamsa (áp-xe)",,,,
abece,derived,b.oj,,TRUE,"alphabet, ABCs; alphabetize",,"aboco, alfabeto; alfabetigi","alfabeto, abecedario, abecé; alfabetizar",,"Alphabet, Abc",,,,eskolya,a + ibe + ice,,,,
abil,root,t; f.sah,,TRUE,"able, capable, capably; be able, can",,"pova, kapabla; povi, kapabli","capaz; capazmente; poder, ser capaz de",,"können, vermögen",,,Kam yu abil na suyon?,modaliya,"Englisa (able), Espanisa (hábil, habilidad), Fransesa (-able, habileté), Turkisa (-abil), Italisa (abile), Pilipinasa (abilidad), Rumanisa (abil), Arabisa (⁧قَابِل⁩ “qābil”), Parsisa (qâbil)",,pouvoir,мочь,識得
abil na kari,derived,b.oj,,FALSE,afford,,povi aĉeti,poder comprar,,,,,,,"abil, na, kari",,,,
abilgi,derived,b.oj,,FALSE,enable,,povigo; povigi,"posibilitar, habilitar, activar, permitir, propiciar",,,,,,,abil + -gi,,,,
abilya,derived,b,,TRUE,"ability, capacity, capability",,"povo, kapablo","habilidad, capacidad",,,,,,,abil + -ya,,,,
abone,root,b.oj,,TRUE,subscription; subscribe (to),,abono; aboni,"suscripción, abono; suscribirse (a), abonarse (a)",,,,,,,"Espanisa (abono), Fransesa (abonnement; abonner; abonné), Rusisa (абонемент “abonyemyént”), Doycisa (Abonnement), Indonesisa (abonemen; abone), Turkisa (abonelik, abonman, abone), Parsisa (آبونمان “âbonmân”)",,,,
aboneyen,derived,b,,FALSE,subscriber,,abonanto,"su(b)scriptor, abonado",,,,,,,abone + -yen,,,,
abruto,root,t,,TRUE,"abrupt, sudden; abruptly, suddenly, all of a sudden",,"abrupta, subita; abrupte, subite","abrupto, repentino; abruptamente, repentinamente, de repente",,"plötzlich, auf einmal, jäh",,,,,"Englisa (abrupt), Fransesa (abrupt), Doycisa (abrupt), Espanisa (abrupto)",,soudainement,вдруг,突然
abrutoya,derived,b,,TRUE,"suddenness, abruptness",,"subiteco, abrupteco","lo repentino, brusquedad",,"Plötzlichkeit, Abruptheit",,,,,abruto + -ya,,,,
absorbi,root,b.oro,agentless,TRUE,absorption; absorb,,"sorbo, absorbo; sorbi, absorbi, sorbiĝi, absorbiĝi","absorción; absorber, absorberse",,,,,,,"Englisa (absorption, absorbing; absorb), Espanisa (absorción; absorber), Fransesa (absorption; absorber), Rusisa (абсорбция “absórbtsyiya”), Doycisa (Absorption; absorbieren), Portugalsa (absorção; absorver), Italisa (assorbimento; assorbire), Indonesisa (absorpsi), Pilipinasa (absorpsiyon), Turkisa (absorpsiyon)",,,,
absorbiabil,derived,t,,FALSE,absorbent,,"sorba, sorbema; sorbe, sorbeme","absorbente, hidrófilo",,,,,,,absorbi + -abil,,,,
absorbigi,derived,b.oj,,FALSE,"drench, saturate, soak",,"(tra)sorbigo, trempado; (tra)sorbigi, trempi","empapada, enpapamiento, ensopada, remojo; empapar, ensopar, remojar",,,,,,,absorbi + -gi,,,,
absorbine,derived,t,,FALSE,absorbent,,"sorba, sorbema; sorbe, sorbeme","absorbente, hidrófilo",,,,,,,absorbi + -ne,,,,
abyasa,root,b.oj,,TRUE,"rehearsal, practice; practice, rehearse",,ekzerco; ekzerci,"ensayo, práctica, entrenamiento; ensayar, practicar, entrenar",,"Übung, Probe; üben, proben",,,,,"Hindi (अभ्यास “abyas”), Karnatakasa (ಅಭ್ಯಾಸ “abyāsa”)",,,,
abyasado,derived,t,,FALSE,rehearsed,,ekzercita; ekzercite,"ensayado, practicado",,,,,,,abyasa + -do,,,,
acidi,root,b,,TRUE,acid,,acido,ácido,,,,,,,"Englisa (acid, acidic), Espanisa (ácido), Fransesa (acide), Italisa (acido, acidi), Pilipinasa (asido), Turkisa (asit), Parsisa (اسید “asid”), Swahilisa (asidi)",,,,
acidigi,derived,b.oj,,FALSE,acidification; acidify,,acidigo; acidigi,acidificación; acidificar,,,,,,,acidi + -gi,,,,
acidihamir,derived,b,,FALSE,sourdough,,acida pasto,"masa madre (_levadura_), masa fermentada",,,,,,,acidi + hamir,,,,
acidije,derived,b,,FALSE,acidity,,acideco (_grado_),acidez,,,,,,,acidi + -je,,,,
acidipul,derived,t,,FALSE,"acidic, sour",,acida; acide,"agrio, ácido",,,,,,xetocu,acidi + -pul,,,,
acidiroti,derived,b,,FALSE,sourdough (bread),,acida pano,"pan (de masa madre), pan de levadura natural, pan sin levadura",,,,,,yamxey,acidi + roti,,,,
acidiya,derived,b,,FALSE,"acidity, acidness, sourness",,acideco (_stato_),acidez,,,,,,,acidi + -ya,,,,
acum,root,b.nenoj,,TRUE,sneeze; sneeze,,terno; terni,estornudo; estornudar,,Nieser; niesen,,,,,"kwasilexi - Arabisa (عَطْسَةٌ “atsatun”), Doycisa (hatschi), Englisa (achoo), Fransesa (atchoum), Hindi, Niponsa (ハクション “hakuxon”), Hangusa (에취 “ecwi”), Parsisa, Pilipinasa (hatsing), Espanisa (achís, achú), Turkisa (hapşu), Tamilsa, Vyetnamsa (hắt xì), ji max to",,,,
acumgi,derived,b.oj,,TRUE,"make sneeze, cause to sneeze",,ternigo; ternigi,hacer estornudar,,Niesen auslösen,,,Luminpul sola acumgi te.,,acum + -gi,,,,
adabu,root,b,,TRUE,politeness,,ĝentileco,"cortesía, buenos modales, buena educación, cordialidad, afabilidad",,,,,,,"Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)",,,,
adabufil,derived,t,,FALSE,polite,,ĝentila; ĝentile,"respetuoso, educado, correcto, cortés, amable",,,adabupul,,,,adabu + -fil,,,,
adabukal,derived,t,,FALSE,"impolite, rude",,malĝentila; malĝentile,"descortés, maleducado, grosero; descortésmente, groseramente",,,adabunenfil,adabupul,,,adabu + -kal,,,,
adabukalya,derived,t,,FALSE,"impoliteness, rudeness",,malĝentileco,"descortesía, falta de civismo, grosería, indecencia, rudeza",,,nenadabu,,,,adabu + -kal + -ya,,,,
adabunenfil,derived,t,,FALSE,"impolite, rude",,malĝentila; malĝentile,"descortés, maleducado, grosero; descortésmente, groseramente",,,adabukal,adabufil,,,adabu + nen- + -fil,,,,
adabupul,derived,t,,TRUE,polite; politely,,ĝentila; ĝentile,"cortés, respetuoso, educado, correcto; cortésmente",,,,,,,adabu + -pul,,,,
adasi,root,b,,TRUE,lentil,,lento,"lenteja, _Lens culinaris_",,,,,,"sabzi, yamxey","Arabisa (عَدَس “adas”), Parsisa (عدس “adas”), Swahilisa (adesi)",,,,
adasisupa,derived,b,,FALSE,lentil soup,,lenta supo,sopa de lentejas,,,,,,,adasi + supa,,,,
adate,root,b.oro,agentless (like evolu),TRUE,"adaptation; adapt, adapt oneself",,"adapto; adaptiĝi, adapti","adaptación; adaptar, adaptarse",,"Anpassung, Adaptierung; anpassen, adaptieren",,,Te musi na adate cel sesu neo ergoli hwanjin.,,"Doycisa (adaptieren), Englisa (adaptation, adapt), Espanisa (adaptar), Fransesa (adapter), Rusisa (адаптировать “adaptyírovaty”), Indonesisa (adaptasi), Turkisa (adapte)",,,,
adateible,derived,t,,FALSE,adaptable,,adaptebla; adapteble,adaptable,,,,,,,adate + -ible,,,,
adatexey,derived,b,,FALSE,adaptation (_count noun_),,adaptaĵo,adaptación,,,,,,,adate + -xey,,,,
Aden,proper word,su n,,FALSE,Aden,,Adeno,"Adén (_golfo_), golfo de Somalia",,,,,,,"Arabisa (عَدَن “Adan”), Espanisa (Adén), Fransesa (Aden), Doycisa (Aden), Indonesisa (Aden), Pilipinasa (Aden), Turkisa (Aden), Vyetnamsa (Aden), Rusisa (Аденский “Adenskiy”), Hindi (अदन “Adan”), Arabisa (عدن “Adan”), Swahlisa (Eritrea, Aden), Parsisa (عدن “Aden”), Putunhwa (亚丁 “Yading”), Hangusa (아덴 “Aden”), Niponsa (アデン “Aden”)",,,,
adhesi,root,b.oro,agentless,TRUE,"adhesion; adhere, stick",,"adhero; adheri, adheriĝi, (al)gluiĝi, (al)glui","adhesión; adherir, adherirse, pegar, pegarse",,,,,,,"Englisa (adhesion), Espanisa (adhesión), Fransesa (adhésion), Rusisa (адгезия “adgyézyiya”), Doycisa (Adhäsion), Indonesisa (adesi), Turkisa (adezyon)",,,,
adhesiabil,derived,t,,FALSE,"adhesive, sticky",,adhera; adhere,"adhesivo, pegajoso",,,,,,,adhesi + -abil,,,,
adhesiente,derived,b,,FALSE,adhesive,,adherigaĵo,"adhesivo (_sustancia_), pegamento",,,,,,,adhesi + -ente,,,,
adhesine,derived,t,,FALSE,"adhesive, sticky",,adhera; adhere,"adhesivo, pegajoso",,,,,,,adhesi + -ne,,,,
adhesixey,derived,t,,FALSE,adhesion (_count noun_),,adheraĵo,adherencia,,,,,,,adhesi + -xey,,,,
adil,root,t,,TRUE,"fair, just; fairly, justly",,justa; juste,"justo, imparcial; justamente, imparcialmente",,"gerecht, fair",,"posadil, nenadil",,,"Arabisa (عادل “adil”), Parsisa (عادل “adel”), Indonesisa (adil), Turkisa (adil), Swahilisa (adili)",,,,
adilya,derived,b,,TRUE,"fairness, justice",,justeco,"justicia, imparcialidad",,,,"posadilya, nenadilya",,,adil + -ya,,,,
admiral,root,b,,TRUE,admiral,,admiralo,almirante,,,,,,insan,"Englisa (admiral), Espanisa (almirante), Fransesa (amiral), Rusisa (адмирал “admyirál”), Doycisa (Admiral), Pilipinasa (almirante), Hindi (ऐडमिरल “edmiral”), Arabisa (أَمِيرُ البَحْر “amiru l-bahr”, أَدْمِيرَال “admiral”), Telugusa (అడ్మిరల్ “admiral”), Turkisa (oramiral), Swahilisa (admirali)",,,,
admiralya,derived,b,,FALSE,admiralty,,admiraleco,almirantazgo,,,,,,,admiral + -ya,,,,
adola,root,b,,TRUE,muscle,,muskolo,músculo,,,,,,jismulogi,"Arabisa (عضلة “adala”), Parsisa (عضله “azole”), Turkisa (adale)",,,,
adolabala,derived,t,,FALSE,brawny,,"muskola, fortika","fornido, fuerte",,,adolapul,,,,adola + bala,,,,
adolabalaya,derived,b,,FALSE,brawn,,"muskoleco, fortikeco","fuerza, músculo",,,adolaya,,,,adola + bala + -ya,,,,
adolakal,derived,t,,FALSE,scrawny,,senmuskola,"flac(uch)o, escuálido, esquelético",,,,adolapul,,,adola + -kal,,,,
adolapul,derived,t,,FALSE,"muscular, brawny",,muskola,"musculoso, fornido, fuerte, cachas, mamado",,,adolabala,adolakal,,,adola + -pul,,,,
adolaya,derived,b,,FALSE,brawn,,muskoleco,"fuerza, músculo",,,adolabalaya,,,,adola + -ya,,,,
adopsi,root,b.oj,,TRUE,adoption; adopt,,adopto; adopti,adopción; adoptar,,,,,,,"Englisa (adoption), Fransesa (adoption), Doycisa (Adoption), Espanisa (adopción), Indonesisa (adopsi), Pilipinasa (adopsiyon)",,,,
adopsibyuro,derived,b,,FALSE,adoption agency,,adoptejo,agencia de adopción,,,,,,,adopsi + byuro,,,,
adopsili,derived,t,,FALSE,"adoptive, adopted, by adoption",,"adopta, adoptinta, adoptita",adoptivo,,,,,,,adopsi + -li,,,,
adopsiyen,derived,b,,FALSE,adoptive parent,,"adoptinto, adoptinta patr(in)o, adoptintaj gepatroj",padre adoptivo,,,,,,,adopsi + -yen,,,,
adrenalin,root,b,,TRUE,"adrenaline, epinephrine",,"adrenalino, epinefrino","adrenalina, epinefrina",,,,,,,"Arabisa (أَدْرِينَالِين‎ “ʾadrīnālīn”), Fransesa (adrénaline), Doycisa (Adrenalin), Hindi (एड्रेनालाईन “eḍrenālāīn”), Niponsa (アドレナリン “adorenarin”), Hangusa (아드레날린 “adeurenallin”), Rusisa (адреналин “adryenalyín”), Espanisa (adrenalina), Swahilisa (adrenalini), Pilipinasa (adrenalina), Turkisa (adrenalin), Vyetnamsa (adrenaline)",,,,
adresu,root,b.oj,,TRUE,address; address (_mail_),,adreso; adresi,"dirección, domicilio; poner la dirección de alguien en, dirigir",,"Anschrift, Adresse; (_einen Brief/ein Paket_) adressieren",,,"Fe lutuf, am irsal misu paketi cel hin adresu.",,"Fransesa (adresse), Englisa (address), Doycisa (Adresse), Rusisa (адрес “ádryes”), Indonesisa (adres), Pilipinasa (adres), Turkisa (adres), Niponsa (アドレス “adoresu”), Parsisa (آدرس “âdres”)",,,,
