Word,Category,WordClass,VerbTransitivity,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TransNote,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,See Also,TranslationFra,TranslationRus,TranslationZho
-ente,affix,b xfik,,TRUE,(inanimate) agent,,"(neviva) agento, -ilo",agente (_inanimado_),,,,,,,Am oko ente. ,,,,
-fil,affix,t xfik,,TRUE,"inclined (to), prone (to), tending (to, towards)","inclined, inclined to, prone, prone to, tending, tending to, tending towards","-ema, -eme, inklina, inkline (al)","que le gusta, inclinado [-a, -e] a. alt: inclinado a, inclinada a, inclinade a., propenso [-a, -e] a. alt: propenso a, propensa a, propense a., tendiente a",,,,,,,Am oko fil.,,,,
-fobi,affix,b xfik,,TRUE,phobia,,-fobio,-fobia,,Phobie,,,,,Am oko fobi.,,,,
-fon,affix,b,,TRUE,"-phone, sound tool",,"-fono (_telefono, megafono, mikrofono, vibrafono_)",-fono (_dispositivo de sonido_),,,,,,,Am oko fon.,,,,
-gi,affix,b.oj xfik,,TRUE,"_causative, transitive marker_, make, cause to be",,"-igo, igi, _kaŭza, transitiva markilo_","-izar (_marcador causativo o transitivo_), -ificar, hacer, volver, tornar",,"markiert transitive Verben_, machen, auslösen",,-cu,,,Am oko gibe.,,,,
-gimu,affix,xfik,,TRUE,"which should be, which ought to be",,"kiu devus esti, kiu estu",que debe ser,,,,,,,Am oko gimu.,,,,
-gon,affix,b xfik,,TRUE,-agon,,-angulo,-gono (_polígono_),,,,,,,Am oko gona.,,,,
-grafi,affix,b xfik,,TRUE,recording ,,"registrado, registraĵo, rikordo","-grafía, -grama, grabación, registro",,"Aufzeichnung, Darstellung",,,,,Am oko grafi.,,,,
-hole,affix,b xfik,,TRUE,"sheath, holder",,-ingo,porta-,,,,,,,Am oko hole.,,,,
-ible,affix,t xfik,,TRUE,"which can be, -ible, -able",,-eble,"que puede ser, -ible, -able, apto [-a, -e] para. alt: apto para, apta para, apte para.",,,,,,,Am oko ible.,,,,
-ina,affix,b xfik,,TRUE,-ine,,"-eno, -ino (_hormonoj, ktp_)",-ina (_sustancia_),,,,,,,"Englisa (caffeine), Putunhwa (咖啡因 “kafeyyin”), Hindi (कैफीन, कैफ़ीन “kefin”), Espanisa (cafeína), Arabisa (كَافِيِين “kafiyin”), Fransesa (caféine), Rusisa (кофеин “kofyeyín”), Indonesisa (kafein), Doycisa (Coffein, Koffein), Niponsa (カフェイン “kafein”), Telugusa (కెఫిన్ “kefin”), Turkisa (kafein), Hangusa (카페인 “kapein”), Vyetnamsa (cafein, cà-phê-in), Parsisa (کافئین “kafein”), Swahilisa (kafeini), Pilipinasa (caffeine)",,,,
-ismo,affix,b xfik,,TRUE,-ism,,-ismo,-ismo (_ideología_),,,,,,,"Englisa (-ism), Doycisa (-ismus), Fransesa (-isme), Espanisa (-ismo), Rusisa (-изм “-yízm”), Parsisa (ـیسم- “-ism”), Turkisa (-izm), Indonesisa (-isme), Pilipinasa (-ismo), Niponsa (-イズム “-izumu”)",,,,
-ista,affix,b xfik,,TRUE,-ist,,-isto (_nur rilate al -ismo_),"-ista (_partidario [-a, -e]_)",,,,,,,"Englisa (-ist), Doycisa (-ist), Fransesa (-iste), Espanisa (-ista), Rusisa (-ист “-yíst”, -истка “-yístka”), Indonesisa (-is), Pilipinasa (-ista), Turkisa (-ist), Parsisa (یست- “-ist”)",,,,
-itis,affix,b xfik,,TRUE,inflammation,,"-inflamo, -ito",inflamación de,,,,,,,Am oko itis.,,,,
-je,affix,b xfik,,TRUE,"degree, level, measurement",,"grado, nivelo, mezuro","-aje (_grado, nivel, medida_), -ad, -ud, -ura",,,,,,,Am oko daraje.,,,,
-kal,affix,t xfik,,TRUE,"without sufficient, -less",,"sen-, malplena, malplene","sin (suficiente), carente de, libre de",,,,-pul,,,Am oko kal.,,,,
-kamer,affix,b xfik,,TRUE,room,,"-ĉambro, -ejo","cuarto de, habitación de, (re)cámara de",,,,,,,Am oko kamer.,,,,
-kaxa,affix,b xfik,,TRUE,"case, container",,-ujo,"estuche de, caja de, contenedor de",,,,,,,Am oko kaxa.,,,,
-kef,affix,b xfik,,TRUE,"chief, head, boss, lead, master",,-estro,"jefe [-a]. alt: jefa., dirigente",,,,,,,Am oko kef.,,,,
-kolordo,affix,t xfik,,TRUE,shade of color,,nuanco de kolor,tono de color,,,,,,,Am oko kolor.,,,,
-krasi,affix,b xfik,,TRUE,(type of) government,,"(tipo de) registraro, -kratio","-cracia, -arquía, (tipo de) gobierno",,,,,,,Am oko krasi.,,,,
-kumax,affix,b xfik,,TRUE,piece of cloth (_for specific purpose_),,tuko (_por specifa celo_),"(trozo de) tela, trapo, paño, bayeta",,,,,,,Am oko kumax.,,,,
-lari,affix,b xfik,,TRUE,collective group,,-aro,grupo colectivo,,,,-mon,,,Am oko lari.,,,,
-laye,affix,t xfik,,TRUE,worthy,,"-inda, -inde","digno de, que merece",,,,,,,Am oko laye.,,,,
-lexi,affix,b xfik,,TRUE,word,,vorto,"palabra, término",,,,,,,Am oko lexi. ,,,,
-li,affix,t xfik,,TRUE,"relating to, of",,"-a, de, rilate al","relacionado [-a, -e] con. alt: relacionado con, relacionada con, relacionade con., de, -al, -il, -ico [-a, -que]. alt: -ica, -ique., -mente",,,,,,,"Fransesa (-el, -elle), Espanisa (-al), Englisa (-al, -ly), Doycisa (-lich), Rusisa (-ильный “-yílyniy”, -альный “-alyniy”), Turkisa (-li)",,,,
-logi,affix,b xfik,,TRUE,"specialty, science (of), philosophy (of), study (of), art (of)","science of, philosophy of, study of, art of","-logio, fako, -scienco, filozofio, -studo, -arto","especialidad, ciencia de, filosofía de, estudio de, arte de",,,,,,,Am oko logi.,,,,
-maso,affix,b xfik,,TRUE,meat,,"-aĵo, karno de",carne,,,,,,,Am oko maso.,,,,
-maxina,affix,b xfik,,TRUE,"machine, device, apparatus (_attached to nouns_)",,"maŝino, aparato (_fiksita al substantivoj_)","máquina (_agregado a sustantivos_), dispositivo, aparato, electrodoméstico, -dor(a)",kompara: -tora,,,,,,Am oko maxina.,,,,
-medis,affix,b xfik,,TRUE,medical practice,,medicino,práctica médica,,Arztpraxis,,,,,Am oko medis.,,,,
-meter,affix,b xfik,,TRUE,"measuring device, tool",,"-mezurilo, -metro",dispositivo para medir,,,,,,,Am oko meter.,,,,
-mo,affix,m xfik,,TRUE,_adverb of degree and manner_,,_adverbo de grado kaj maniero_,-mente (_para describir adjetivos y adverbios_),,,,,,,"Fransesa (-ment), Espanisa (-mente, como), Rusisa (-о “-o”)",,,,
-mon,affix,b xfik,,TRUE,"element, unit (_of a whole_)",,"-ero, elemento, unuo","elemento, unidad (_de un conjunto_)",,,,-lari,,,Am oko mon.,,,,
-mosem,affix,b xfik,,TRUE,season,,sezono,"estación, temporada",,,,,,,Am oko mosem.,,,,
-musi,affix,t xfik,,TRUE,which must,,kiu devas ___i,que tiene que,,,,,,,Am oko musi.,,,,
-ne,affix,t xfik,,TRUE,_in an active state or process of_,,"_en aktiva stato de_, -anta, -ante","-nte, en estado o proceso activo de",,,,,,,"Englisa (-ing), Fransesa (-ant), Espanisa (-ando), Doycisa (-end), Rusisa (-ный “-niy”), Turkisa (-en, -an)",,,,
-osis,affix,b xfik,,TRUE,pathology,,"patologio, -ozo",patología (_conjunto de síntomas_),,,,,,,Am oko osis.,,,,
-pel,affix,b xfik,,TRUE,"drive to, make want to","drive, drive to, make want, make want to",-emo,"impulso; hacer querer, llevar a",,,,,,,Am oko pel.,,,,
-ple,affix,t xfik,,TRUE,"-uble, -iple, -uple",,-obla; -oble,"-ble, -ple. alt: -uple, -iple.",,,,,,,"Englisa (double, triple), Fransesa (double), Espanisa (doble, triple), Doycisa (doppelt), Indonesisa (dobêl), Parsisa (دوبل “dubl”), Turkisa (duble)",,,,
-pul,affix,t xfik,,TRUE,"with enough or more than enough, -ful, -ous",,-plena; -plene,"con suficiente o más que suficiente, -oso [-a, -e]. alt: -osa, -ose.",,,,-kal,,,Am oko pul.,,,,
-sa,affix,b xfik,,TRUE,"language, animal sounds",,"lingvo, sono de besto","idioma, lengua, sonido de animal; hablar idioma, hablar lengua, hacer sonido de",,,,,,,Am oko basa.,,,,
-sim,affix,t xfik,,TRUE,"-like, -ish (_added to nouns_)","-like, like, -ish, ish",-eca; -ece,"parecido a, -esco [-a, -que]. alt: -esca, -esque. (_agregado a sustantivos_)",,,,,,,Am oko sim.,,,,
-su,affix,t xfik,,TRUE,_possessive adjective marker_,,"_markilo de podesa adjektivo_, -a",(_marcador de adjetivo posesivo_),,,"su, de",,,,Am oko su.,,,,
-tim,affix,b xfik,,TRUE,"team, body",,"teamo, grupo, -istaro, -antaro","equipo, grupo",,,,,,,Am oko tim.,,,,
-tora,affix,b xfik,,TRUE,"-ator, machine, device, apparatus, appliance (_attached to verbs_)",,"-ilo, maŝino, aparato","máquina (_agregado a verbos_), dispositivo, aparato, electrodoméstico, -dor(a)",kompara: -maxina,,,,,,Am oko tora.,,,,
-tul,affix,b xfik,,TRUE,tool,,-ilo,herramienta,,,"-meter, -fon, -tora",,,,Am oko tul.,,,,
-xey,affix,b xfik,,TRUE,"thing, substance",,-aĵo,"cosa, objeto, artículo, muestra de, -ada, -ismo, -ción",,,,,,,"Arabisa (شيء “shay”), Putunhwa (事 “shì”), Turkisa (şey)",,,,
-ya,affix,b xfik,,TRUE,_abstract nouns_,,"-o, -eco, _abstraktaj substantivoj_","-ad, -(er)ía, -ez(a), -ura, -ud, propiedad de, cualidad de",gramati: inharelexi#xafefikso_-ya,,,,,,"Arabisa (ية “-iyya”), Hindi (-य “-ya”), Espanisa (-ía), Rusisa (-ия “-yiya”), Englisa (-y)",,,,
-yen,affix,b xfik,,TRUE,"being (_any animate being_), (personified) object",,"-ulo (_iu ajn vivulo_), -anto, -isto, (personigita) objekto","-ano [-a, -e]. alt: -ana, -ane. (_gentilicio_), -ense, -és [a, e]. alt: -esa, -ese., -ita, -eno [-a, -e]. alt: -ena, -ene., -ino [-a, -e]. alt: -ina, -ine., -o [-a, -e]. alt: -a, -e., -do [-a, -e]. alt: -da, -de. (_taxón_), -dor [a, e]. alt: -dora, -dore. (_agente_), -ero [-a, -e]. alt: -era, -ere.",,,,,,,"Putunhwa (员 “yuán”), Englisa (-ian), Fransesa (-ien, -ienne), Swahilisa (yeye - te)",,,,
-yum,affix,t xfik,,TRUE,_ordinal number_,,"_vicnomtra numeralo_, -a","número ordinal, -ésimo [-a, -e]. alt: -ésima, -ésime.",,,,,,,"Fransesa (ième), Parsisa (ـم‎ “-um”)",,,,
(fe) ban leli watu,phrase,jm p,,FALSE,"at some point in the past, once upon a time",,je iu estinta fojo,"en cierto punto del pasado, hubo una vez",,,,,,,"fe, ban, le + -li, watu",,,,
(fe) ban mara,phrase,jm p,,FALSE,"on a certain occasion, once, once upon a time",,"iufoje, je iu fojo","cierta ocasión, una vez, había una vez",,,,,,,"fe, ban, mara",,,,
(fe) ban xali watu,phrase,jm p,,FALSE,"at some point in the future, eventually",,je iu estonta fojo,"en cierto punto del futuro, eventualmente",,,,,,,"fe, ban, xa + -li, watu",,,,
(fe) dua mara,phrase,jm p,,FALSE,"twice, two times",,dufoje,dos veces,,,,,,,"fe, dua, mara",,,,
(fe) duli mara,phrase,jm p,,FALSE,"at times, sometimes, occasionally, on occasion, from time to time, once in a while",,"iafoje, iufoje, kelkfoje, kelkafoje, multfoje, plurfoje","a veces, de vez en cuando, ocasionalmente",,,,,,,"fe, du- + -li, mara",,,,
(fe) dumara,phrase,jm p,,FALSE,"at times, sometimes, occasionally, on occasion, from time to time, once in a while",,"iafoje, iufoje, kelkfoje, kelkafoje, multfoje, plurfoje","a veces, de vez en cuando, ocasionalmente",,,,,,,"fe, du- + mara",,,,
(fe) hin noce,phrase,jm.p,,FALSE,tonight,,"ĉinokte, ĉi tiu nokton","esta noche, hoy en la noche",,,,,,,"fe, hin, noce",,,,
(fe) ner leya,phrase,jm p,,FALSE,"in the near past, recently",,"lastatempe, antaŭ nelonge, freŝdate","en el pasado reciente, recientemente, recién",,,nerleli,,,,"fe, ner, le + -ya",,,,
(fe) ner or teli xaya,phrase,jm p,,FALSE,"sooner or later, eventually",,pli aŭ malpli baldaŭ,tarde o temprano,,,,,,,"fe, ner, or, teli, xa + -ya",,,,
(fe) ner xaya,phrase,jm p,,FALSE,"in the near future, soon",,"en la proksima estonteco, post nelonge, baldaŭ","en el futuro cercano, pronto",,,nerxali,,,,"fe, ner, xa + -ya",,,,
(fe) nunli din,phrase,jm p,,FALSE,nowadays,,"nune, nuntage",hoy (en) día,,,,,,,"fe, nun + -li, din",,,,
(fe) tiga mara,phrase,jm p,,FALSE,thrice,,trifoje,tres veces,,,,,,,"tiga, mara",,,,
(fe) un mara,phrase,jm p,,FALSE,"once, one time",,unufoje,una vez,,,,,,,"fe, un, mara",,,,
a,root,il,,TRUE,ah (_denotes surprise or wonder_),,ha,ah,,ah (_Ausdruck der Überraschung oder der Verwunderung_),,,,,"Putunhwa (啊 “a”), Englisa (ah), Doycisa (ah), Espanisa (ah), Rusisa (ах “áh”, a “á”)",,ah,а,啊
ababil,root,b,,FALSE,"swallow (_bird_), _Hirundinidae_",,hirundo,"golondrina, avión, _Hirundinidae_",,,,,,"hewan, piu","Hindi (अबाबील “ababil”), Parsisa (ابابیل “abâbil”)",,,,
abakus,root,b,,TRUE,abacus,,abako,ábaco,,,,,,tul,"Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Rusisa (абак “abák”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)",,,,
abece,derived,b.oj,,TRUE,"alphabet, ABCs; alphabetize",,"aboco, alfabeto; alfabetigi","alfabeto, abecedario; alfabetizar",,"Alphabet, Abc",,,,eskolya,a + ibe + ice,,,,
abil,root,t; f.sah,,TRUE,"able, capable, capably; be able, can",,"pova, kapabla; povi, kapabli",capaz; poder,,"können, vermögen",,,Kam yu abil na suyon?,,"Englisa (able), Espanisa (hábil, habilidad), Fransesa (-able, habileté), Turkisa (-abil), Italisa (abile), Pilipinasa (abilidad), Rumanisa (abil), Arabisa (⁧قَابِل⁩ “qābil”), Parsisa (qâbil)",,pouvoir,мочь,識得
abil na kari,derived,b.oj,,FALSE,afford,,povi aĉeti,poder comprar,,,,,,,"abil, na, kari",,,,
abilya,derived,b,,TRUE,"ability, capacity, capability",,"povo, kapablo","habilidad, capacidad",,,,,,,abil + -ya,,,,
abone,root,b.oj,,TRUE,subscription; subscribe (to),,abono; aboni,"suscripción, abono; suscribirse (a), abonarse (a)",,,,,,,"Espanisa (abono), Fransesa (abonnement; abonner; abonné), Rusisa (абонемент “abonyemyént”), Doycisa (Abonnement), Indonesisa (abonemen; abone), Turkisa (abonelik, abonman, abone), Parsisa (آبونمان “âbonmân”)",,,,
abruto,root,t,,TRUE,"abrupt, abruptly, sudden, suddenly, all of a sudden",,"abrupta, subita; abrupte, subite","abrupto [-a, -e], repentino [-a, -e]; abruptamente, repentinamente, de repente",,"plötzlich, auf einmal, jäh",,,,,"Englisa (abrupt), Fransesa (abrupt), Doycisa (abrupt), Espanisa (abrupto)",,soudainement,вдруг,突然
abrutoya,derived,b,,TRUE,"suddenness, abruptness",,"subiteco, abrupteco","lo repentino, brusquedad",,"Plötzlichkeit, Abruptheit",,,,,abruto + -ya,,,,
absorbi,root,b.oro,agentless,TRUE,absorption; absorb,,"sorbo, absorbo; sorbi, absorbi","absorción; absorber, absorberse",,,,,,,"Englisa (absorption, absorbing; absorb), Espanisa (absorción; absorber), Fransesa (absorption; absorber), Rusisa (абсорбция “absórbtsyiya”), Doycisa (Absorption; absorbieren), Portugalsa (absorção; absorver), Italisa (assorbimento; assorbire), Indonesisa (absorpsi), Pilipinasa (absorpsiyon), Turkisa (absorpsiyon)",,,,
abyasa,root,b.oj,,TRUE,"rehearsal, practice; practice, rehearse",,ekzerco; ekzerci,ensayo; ensayar,,"Übung, Probe; üben, proben",,,,,"Hindi (अभ्यास “abyas”), Karnatakasa (ಅಭ್ಯಾಸ “abyāsa”)",,,,
acidi,root,b,,TRUE,acid,,acido,ácido,,,,,,,"Englisa (acid, acidic), Espanisa (ácido), Fransesa (acide), Italisa (acido, acidi), Pilipinasa (asido), Turkisa (asit), Parsisa (اسید “asid”), Swahilisa (asidi)",,,,
acum,root,b.nenoj,,TRUE,sneeze; sneeze,,terno; terni,estornudo; estornudar,,Nieser; niesen,,,,,"kwasilexi - Arabisa (عَطْسَةٌ “atsatun”), Doycisa (hatschi), Englisa (achoo), Fransesa (atchoum), Hindi, Niponsa (ハクション “hakuxon”), Hangusa (에취 “ecwi”), Parsisa, Pilipinasa (hatsing), Espanisa (achís, achú), Turkisa (hapşu), Tamilsa, Vyetnamsa (hắt xì), ji max to",,,,
acumgi,derived,b.oj,,TRUE,"make sneeze, cause to sneeze",,ternigo; ternigi,hacer estornudar,,Niesen auslösen,,,Luminpul sola acumgi te.,,acum + -gi,,,,
adabu,root,b,,TRUE,politeness,,ĝentileco,"cortesía, buenos modales, buena educación, cordialidad, afabilidad",,,,,,,"Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)",,,,
adabupul,derived,t,,TRUE,polite; politely,,ĝentila; ĝentile,"cortés, respetuoso [-a, -e]. alt: respetuosa, respetuose., educado [-a, -e]. alt: educada, educade., correcto [-a, -e]. alt: correcta, correcte.; cortésmente",,,,,,,adabu + -pul,,,,
adasi,root,b,,TRUE,lentil,,lento,"lenteja, _Lens culinaris_",,,,,,"sabzi, yamxey","Arabisa (عَدَس “adas”), Parsisa (عدس “adas”), Swahilisa (adesi)",,,,
adate,root,b.oro,agentless (like evolu),TRUE,adaptation; adapt,,"adapto; adaptiĝi, adapti","adaptación; adaptar, adaptarse",,"Anpassung, Adaptierung; anpassen, adaptieren",,,Te musi na adate cel sesu neo ergoli hwanjin.,,"Doycisa (adaptieren), Englisa (adaptation, adapt), Espanisa (adaptar), Fransesa (adapter), Rusisa (адаптировать “adaptyírovaty”), Indonesisa (adaptasi), Turkisa (adapte)",,,,
adhesi,root,b.oro,agentless,TRUE,"adhesion; adhere, stick",,"adhero; adheri, (al)gluiĝi, (al)glui","adhesión; adherir, adherirse, pegar, pegarse",,,,,,,"Englisa (adhesion), Espanisa (adhesión), Fransesa (adhésion), Rusisa (адгезия “adgyézyiya”), Doycisa (Adhäsion), Indonesisa (adesi), Turkisa (adezyon)",,,,
adil,root,t,,TRUE,"fair, just; fairly, justly",,justa; juste,"justo [-a, -e]. alt: justa, juste., imparcial",,"gerecht, fair",,"posadil, nenadil",,,"Arabisa (عادل “adil”), Parsisa (عادل “adel”), Indonesisa (adil), Turkisa (adil), Swahilisa (adili)",,,,
adilya,derived,b,,TRUE,"fairness, justice",,justeco,"justicia, imparcialidad",,,,"posadilya, nenadilya",,,adil + -ya,,,,
admiral,root,b,,TRUE,admiral,,admiralo,almirante,,,,,,insan,"Englisa (admiral), Espanisa (almirante), Fransesa (amiral), Rusisa (адмирал “admyirál”), Doycisa (Admiral), Pilipinasa (almirante), Hindi (ऐडमिरल “edmiral”), Arabisa (أَمِيرُ البَحْر “amiru l-bahr”, أَدْمِيرَال “admiral”), Telugusa (అడ్మిరల్ “admiral”), Turkisa (oramiral), Swahilisa (admirali)",,,,
adola,root,b,,TRUE,muscle,,muskolo,músculo,,,,,,jismulogi,"Arabisa (عضلة “adala”), Parsisa (عضله “azole”), Turkisa (adale)",,,,
adopsi,root,b.oj,,TRUE,adoption; adopt,,adopto; adopti,adopción; adoptar,,,,,,,"Englisa (adoption), Fransesa (adoption), Doycisa (Adoption), Espanisa (adopción), Indonesisa (adopsi), Pilipinasa (adopsiyon)",,,,
adrenalin,root,b,,TRUE,"adrenaline, epinephrine",,"adrenalino, epinefrino","adrenalina, epinefrina",,,,,,,"Arabisa (أَدْرِينَالِين‎ “ʾadrīnālīn”), Fransesa (adrénaline), Doycisa (Adrenalin), Hindi (एड्रेनालाईन “eḍrenālāīn”), Niponsa (アドレナリン “adorenarin”), Hangusa (아드레날린 “adeurenallin”), Rusisa (адреналин “adryenalyín”), Espanisa (adrenalina), Swahilisa (adrenalini), Pilipinasa (adrenalina), Turkisa (adrenalin), Vyetnamsa (adrenaline)",,,,
adresu,root,b.oj,,TRUE,address; address (_mail_),,adreso; adresi,"dirección, domicilio; poner la dirección de alguien en, dirigir",,"Anschrift, Adresse; (_einen Brief/ein Paket_) adressieren",,,"Fe lutuf, am irsal misu paketi cel hin adresu.",,"Fransesa (adresse), Englisa (address), Doycisa (Adresse), Rusisa (адрес “ádryes”), Indonesisa (adres), Pilipinasa (adres), Turkisa (adres), Niponsa (アドレス “adoresu”), Parsisa (آدرس “âdres”)",,,,
adresulari,derived,b,,TRUE,directory,,"adresaro, adresliro",directorio,,,,,,,adresu + -lari,,,,
afarin,root,b.oj; il,,TRUE,"applause; applaud, clap; well done, good job, bravo",,"aplaŭdo; aplaŭdi; bone farita, brave","aplauso; aplaudir; bien hecho, bravo",,,,,,intrelogalexi,"Hindi (आफ़रीन “āfrīn”), Arabisa (عَفَارِم “ʿafārim”), Turkisa (aferin), Parsisa (آفرین “âfarin”), Niponsa (あっぱれ “appare”)",,,,
afatu,root,b,,TRUE,"disaster, catastrophe, calamity",,katastrofo,"desastre, catástrofe, calamidad",,,,,,,"Hindi (आफ़त “afat”), Arabisa (آفَة “afa”), Turkisa (afet), Parsisa (آفت “afat”), Swahilisa (afa)",,,,
Afgani,proper word,su n,,TRUE,Afghanistan,,"Afganio, Afganujo",Afganistán,,Afghanistan,,,,dexa,Paxtunsa (افغانستان “Afġānistān”),,,,
Afganili,derived,t,,TRUE,"Afghan (_relating to Afghanistan, its people, or their language_)",,afgana,"afgano [-a, -e]. alt: afgana, afgane.",,,,,,,Afgani + -li,,,,
Afganiyen,derived,b,,TRUE,Afghan (_a native or inhabitant of Afghanistan_),,afgano,"afgano [-a, -e]. alt: afgana, afgane. (_persona_)",,,,,,,Afgani + -yen,,,,
Afrika,proper word,su n,,TRUE,Africa,,Afriko,África,,Afrika,,,,"geografi, daygeo","Englisa (Africa), Fransesa (Afrique), Doycisa (Afrika), Rusisa (Африка “Áfryika”), Espanisa (Africa), Arabisa (أَفْرِيقِيَا “ʾafrīqiyā”), Hindi (अफ़्रीका “afrīkā”), Telugusa (ఆఫ్రికా “āphrikā”), Swahilisa (Afrika), Turkisa (Afrika), Indonesisa (Afrika), Pilipinasa (Aprika), Hangusa (아프리카 “apeurika”), Niponsa (アフリカ “afurika”)",,,,
Afrikali,derived,t,,TRUE,African (_relating to Africa and its people_),,afrika,"africano [-a, -e]. alt: africana, africade.",,,,,,,Afrika + -li,,,,
Afrikanse,proper word,su t,,TRUE,"Afrikaans (_relating to the Afrikaner people, their way of life, or their language_)",,"afrikansa (_pri afrikansoj/afrikaneroj, ilia vivmaniero, aŭ ilia lingvo_)","afrikáner (_relacionado con las personas afrikáneres, su forma de vida, o su idioma_)",,"afrikaans (_die Volksgruppe der Afrikaander, ihre Kultur oder Sprache betreffend_)",,,,,Afrikansesa (Afrikaans),,,,
Afrikansesa,derived,b,,TRUE,Afrikaans (language),,"la afrikansa (lingvo), afrikanso",(idioma) afrikáans,,,,,,basa,Afrikanse + -sa,,,,
Afrikanseyen,derived,b,,TRUE,Afrikaner,,"afrikanso, arikanero, buro","afrikáner, bóer",,,,,,,Afrikanse + -yen,,,,
Afrikayen,derived,b,,TRUE,African (_a native or inhabitant of Africa_),,afrikano,"africano [-a, -e]. alt: africana, africane. (_persona_)",,,,,,,Afrika + -yen,,,,
afsane,root,b,,TRUE,legend,,legendo,leyenda,,Legende,,,,,"Hindi (अफ़्साना “afsana”), Turkisa (efsane), Parsisa (افسانه “afsâne”)",,,,
afyun,root,b,,FALSE,opium,,opio,"opio, anfión",,,,,,,"Englisa (opium), Espanisa (opio, anfión), Fransesa (opium), Rusisa (опий “ópyiy”, опиум “ópyium”), Doycisa (Opium), Indonesisa (apiun), Pilipinasa (opium, opyo, apyan, ampiyon), Hindi (अफ़ीम “afim”, अहिफेन “ahifen”, अफेन “afen”), Telugusa (అభిని “abini”), Arabisa (أَفْيُون “ʔafyūn”), Swahilisa (afyuni), Parsisa (افیون “afyun”), Turkisa (afyon), Putunhwa (鸦片 “yapyen”, 阿片 “apyen”), Hangusa (아편 “apyon”), Niponsa (阿片 “ahen”, オピウム “opyumu”), Vyetnamsa (á phiện)",,,,
agil,root,t,,TRUE,agile; agilely,,facilmova; facilmove,ágil; ágilmente,,"beweglich, geschickt, geschmeidig, flink, agil",,,,,"Englisa (agile), Fransesa (agile), Doycisa (agil), Espanisa (ágil), Makedonisa (агилен “agilen”)",,,,
agilya,derived,b,,TRUE,agility,,facilmoveco,agilidad,,,,,,,agil + -ya,,,,
aham,root,b.oj; il,,TRUE,"comprehension, understanding; understand, comprehend; I see, understood",,"kompreno; kompreni; mi komprenas, komprenita","entendimiento, comprensión; entender, comprender",,,,,,intrelogalexi,"Arabisa (فهم “fahum”), Swahilisa (-fahamu), Indonesisa (paham, memahami), Parsisa (فهم “fahm”), Englisa (aha moment)",,,,
ahamible,derived,t,,TRUE,"understandable, comprehensible, intelligible; understandably, comprehensibly, intelligibly",,komprenebla; kompreneble,"entendible, comprensible, inteligible; entendiblemente, comprensiblemente, inteligiblemente",,,,,,,aham + -ible,,,,
