Word,Category,WordClass,OfficialWord,TranslationEng,SearchTermsEng,TranslationEpo,TranslationSpa,TranslationDeu,Synonyms,Antonyms,Example,Tags,LexiliAsel,TranslationFra,TranslationRus,TranslationZho
-maso,affix,n xfik,TRUE,meat,,"-aĵo, karno de",carne,,,,,,Am oko _maso_.,,,
-medis,affix,n xfik,TRUE,medical practice,,medicino,práctica médica,Arztpraxis,,,,,Am oko _medis_.,,,
-meter,affix,n xfik,TRUE,"measuring device, tool",,"-mezurilo, -metro",dispositivo para medir,,,,,,Am oko _meter_.,,,
-mo,affix,m xfik,TRUE,_adverb of degree and manner_,,_adverbo de grado kaj maniero_,_adverbio de grado y manera_,,,,,,"Fransesa (-ment), Espanisa (-mente, como), Rusisa (-о “-o”)",,,
-mon,affix,n xfik,TRUE,"element, unit (_of a whole_)",,"-ero, elemento, unuo","elemento, unidad (_de un conjunto_)",,,-lari,,,Am oko _mon_.,,,
-mosem,affix,n xfik,TRUE,season,,sezono,"estación, temporada",,,,,,Am oko _mosem_.,,,
-musi,affix,t xfik,TRUE,which must,,-enda; -ende,que tiene que ...,,,,,,Am oko _musi_.,,,
-ne,affix,t xfik,TRUE,_in an active state or process of_,,"_en aktiva stato de_, -anta, -ante",_en estado o proceso activo de_,,,,,,"Englisa (-ing), Fransesa (-ant), Espanisa (-ando), Doycisa (-end), Rusisa (-ный “-ny”), Turkisa (-en, -an)",,,
-osis,affix,n xfik,TRUE,pathology,,"patologio, -ozo",patología,,,,,,Am oko _osis_.,,,
-pel,affix,n xfik,TRUE,drive,,-emo,impulso,,,,,,Am oko _pel_.,,,
-peldo,affix,t xfik,TRUE,driven,,-ema; -eme,impulsado,,,,,,-pel + -do,,,
-ple,affix,t xfik,TRUE,"-uble, -iple, -uple",,-obla; -oble,múltiplo,,,,,,"Englisa (double, triple), Fransesa (double), Espanisa (doble, triple)",,,
-pul,affix,t xfik,TRUE,"with enough or more than enough, -ful, -ous",,-plena; -plene,"con suficiente o más que suficiente, -oso",,,-kal,,,Am oko _pul_.,,,
-sa,affix,n xfik,TRUE,"language, animal sounds",,"lingvo, sono de besto","idioma, sonido de animal",,,,,,Am oko _basa_.,,,
-sim,affix,t xfik,TRUE,"-like, -ish (_added to nouns_)","-like, like, -ish, ish",-eca; -ece,"parecido a, -esco (_agregado a sustantivos_)",,,,,,Am oko _sim_.,,,
-su,affix,t xfik,TRUE,_possessive adjective marker_,,"_markilo de podesa adjektivo_, -a",_marcador de adjetivo posesivo_,,"su, de",,,,Am oko _su_.,,,
-tim,affix,n xfik,TRUE,"team, body",,"teamo, grupo, -istaro, -antaro","equipo, grupo",,,,,,Am oko _tim_.,,,
-tora,affix,n xfik,TRUE,"-ator, machine, device, apparatus, appliance",,"-ilo, maŝino, aparato","-adora, máquina que (verbo), dispositivo, aparato",,,,,,Am oko _tora_.,,,
-tul,affix,n xfik,TRUE,tool,,-ilo,herramienta,,"-meter, -fon, -tora",,,,Am oko _tul_.,,,
-xey,affix,n xfik,TRUE,"thing, substance",,-aĵo,"cosa, sustancia",,,,,,"Arabisa (شيء “shay”), Putunhwa (事 “shì”), Turkisa (şey)",,,
-ya,affix,n xfik,TRUE,_abstract nouns_,,"-o, -eco, _abstraktaj substantivoj_",_sustantivos abstractos_,,,,,,"Arabisa (“-ya”), Hindisa (“-ya”), Espanisa (-ía), Rusisa (-ия “-iya”), Englisa (-y)",,,
-yen,affix,n xfik,TRUE,"being (_any animate being_), (personified) object",,"-ulo (_iu ajn vivulo_), -anto, -isto, (personigita) objekto","ser (_cualquier ser viviente_), objeto (_personificado_)",,,,,,"Putunhwa (员 “yuán”), Englisa (-ian), Fransesa (-ien, -ienne), Swahilisa (yeye - te)",,,
-yum,affix,t xfik,TRUE,_ordinal number_,,"_vicnomtra numeralo_, -a",_número ordinal_,,,,,,"Fransesa (ième), Parsisa (ـم‎ “-um”)",,,
(fe) ban leli watu,phrase,jm.p,FALSE,"at some point in the past, once upon a time",,je iu estinta fojo,"en cierto punto del pasado, hubo una vez",,,,,,"fe, ban, le + -li, watu",,,
(fe) ban mara,phrase,jm.p,FALSE,"on a certain occasion, once, once upon a time",,"iufoje, je iu fojo","cierta ocasión, una vez, había una vez",,,,,,"fe, ban, mara",,,
(fe) ban xali watu,phrase,jm.p,FALSE,"at some point in the future, eventually",,je iu estonta fojo,"en cierto punto del futuro, eventualmente",,,,,,"fe, ban, xa + -li, watu",,,
(fe) dua mara,phrase,jm.p,FALSE,"twice, two times",,dufoje,dos veces,,,,,,"fe, dua, mara",,,
(fe) duli mara,phrase,jm.p,FALSE,"at times, sometimes, occasionally, on occasion, from time to time, once in a while",,"iafoje, iufoje, kelkfoje, kelkafoje, multfoje, plurfoje","a veces, de vez en cuando, ocasionalmente",,,,,,"fe, du- + -li, mara",,,
(fe) hin noce,phrase,jm.p,FALSE,tonight,,"ĉinokte, ĉi tiu nokton",esta noche,,,,,,"fe, hin, noce",,,
(fe) ner leya,phrase,jm.p,FALSE,"in the near past, recently",,"lastatempe, antaŭ nelonge, freŝdate","en el pasado reciente, recientemente, recién",,nerleli,,,,"fe, ner, le + -ya",,,
(fe) ner or teli xaya,phrase,jm.p,FALSE,"sooner or later, eventually",,pli aŭ malpli baldaŭ,tarde o temprano,,,,,,"fe, ner, or, teli, xa + -ya",,,
(fe) ner xaya,phrase,jm.p,FALSE,"in the near future, soon",,"en la proksima estonteco, post nelonge, baldaŭ","en el futuro cercano, pronto",,nerxali,,,,"fe, ner, xa + -ya",,,
(fe) nunli din,phrase,jm.p,FALSE,nowadays,,"nune, nuntage",hoy (en) día,,,,,,"fe, nun + -li, din",,,
(fe) tiga mara,phrase,jm.p,FALSE,thrice,,trifoje,tres veces,,,,,,"tiga, mara",,,
(fe) un mara,phrase,jm.p,FALSE,"once, one time",,unufoje,una vez,,,,,,"fe, un, mara",,,
a,root,il,TRUE,ah (_denotes surprise or wonder_),,ha,ah,ah (_Ausdruck der Überraschung oder der Verwunderung_),,,,,"Putunhwa (啊 “a”), Englisa (ah), Doycisa (ah), Espanisa (ah), Rusisa (ах “akh”, a “a”)",ah,а,啊
abakus,root,n,TRUE,abacus,,abako,ábaco,,,,,tul,"Englisa (abacus), Espanisa (abaco), Fransesa (abaque), Rusisa (абак “abak”), Doycisa (Abakus), Indonesisa (abakus), Pilipinasa (abako), Telugusa (అబాకస్ “abakas”), Turkisa (abaküs)",,,
abece,derived,n/f.oj,TRUE,"alphabet, ABCs; alphabetize",,"aboco, alfabeto; alfabetigi","alfabeto, abecedario; alfabetizar","Alphabet, Abc",,,,eskolya,a + ibe + ice,,,
abil,root,t; f.sah,TRUE,"able, capable, capably ; be able, can",,"pova, kapabla; povi, kapabli",capaz; poder,"können, vermögen",,,Kam yu abil na suyon?,,"Englisa (able), Espanisa (hábil, habilidad), Fransesa (-able, habileté), Turkisa (-abil), Italisa (abile), Pilipinasa (abilidad), Rumanisa (abil)",pouvoir,мочь,識得
abil na kari,derived,n/f.oj,FALSE,afford,,povi aĉeti,poder comprar,,,,,,"abil, na, kari",,,
abilya,derived,n,TRUE,"ability, capacity, capability",,"povo, kapablo","habilidad, capacidad",,,,,,abil + -ya,,,
abone,root,n/f.oj,TRUE,subscription; subscribe,,abono; aboni,"suscripción, abono; suscribirse, abonarse",,,,,,"Espanisa (abono), Fransesa (abonnement; abonner; abonné), Rusisa (абонемент ""abonement""), Doycisa (Abonnement), Indonesisa (abonemen; abone), Turkisa (abonelik, abonman, abone), Parsisa (آبونمان ""âbonmân"")",,,
abruto,root,t,TRUE,"abrupt, abruptly, sudden, suddenly, all of a sudden",,"abrupta, subita; abrupte, subite","abrupto, repentino; abruptamente, repentinamente","plötzlich, auf einmal, jäh",,,,,"Englisa (abrupt), Fransesa (abrupt), Doycisa (abrupt), Espanisa (abrupto)",soudainement,вдруг,突然
abrutoya,derived,n,TRUE,"suddenness, abruptness",,"subiteco, abrupteco","lo repentino, brusquedad","Plötzlichkeit, Abruptheit",,,,,abruto + -ya,,,
absorbi,root,n/f.oj,TRUE,absorption; absorb,,"sorbo, absorbo; sorbi, absorbi",absorción; absorber,,,,,,"Englisa (absorption, absorbing; absorb), Espanisa (absorción; absorber), Fransesa (absorption; absorber), Rusisa (абсорбция “absorbtsya”), Doycisa (Absorption; absorbieren), Portugalsa (absorção; absorver), Italisa (assorbimento; assorbire), Indonesisa (absorpsi), Pilipinasa (absorpsiyon), Turkisa (absorpsiyon)",,,
abyasa,root,n/f.oro.a,TRUE,"rehearsal, practice; practice, rehearse",,ekzerco; ekzerci,ensayo; ensayar,"Übung, Probe; üben, proben",,,,,"Hindisa (अभ्यास “abyas”), Karnatakasa (ಅಭ್ಯಾಸ “abyāsa”)",,,
acidi,root,n,TRUE,acid,,acido,ácido,,,,,,"Englisa (acid, acidic), Espanisa (ácido), Fransesa (acide), Italisa (acido, acidi), Pilipinasa (asido), Turkisa (asit), Parsisa  (اسید “asid”), Swahilisa (asidi)",,,
acum,root,n/f.oro.a,TRUE,sneeze; sneeze,,terno; terni,estornudo; estornudar,Nieser; niesen,,,Luminpul sola acumgi te.,,"kwasilexi - Arabisa, Doycisa, Englisa (achoo), Hindisa, Hangusa, Parsisa, Espanisa, Turkisa, Tamilsa, ji max to",,,
acumgi,derived,n/f.oj,TRUE,"make sneeze, cause to sneeze",,ternigo; ternigi,hacer estornudar,Niesen auslösen,,,,,acum + -gi,,,
adabu,root,n,TRUE,politeness,,ĝentileco,cortesía,,,,,,"Arabisa (أدب “adab”), Parsisa (ادب “adab”), Indonesisa (keadaban, beradab), Turkisa (edep)",,,
adabupul,derived,t,TRUE,"polite, politely",,ĝentila; ĝentile,cortés; cortésmente,,,,,,adabu + -pul,,,
adasi,root,n,TRUE,lentil,,lento,"lenteja, _Lens culinaris_",,,,,yamxey,"Arabisa (عَدَس “adas”), Parsisa (عدس “adas”), Swahilisa (adesi)",,,
adate,root,n/f.oro.b,TRUE,adaptation; adapt,,adapto; adapti,"adaptación; adaptar, adaptarse","Anpassung, Adaptierung; anpassen, adaptieren",,,Te musi na adate cel sesu neo ergoli hwanjin.,,"Doycisa (adaptieren), Englisa (adaptation, adapt), Espanisa (adaptar), Fransesa (adapter), Rusisa (адаптировать “adaptirovat”), Indonesisa (adaptasi), Turkisa (adapte)",,,
adhesi,root,n/f.oro.b,TRUE,"adhesion; adhere, stick",,"adhero; adheri, (al)gluiĝi, (al)glui","adhesión; adherir, pegar",,,,,,"Englisa (adhesion), Espanisa (adhesión), Fransesa (adhésion), Rusisa (адгезия ""adgeziya""), Doycisa (Adhäsion), Indonesisa (adesi), Turkisa (adezyon)",,,
adil,root,t,TRUE,"fair, fairly, just, justly",,justa; juste,"justo, imparcial","gerecht, fair",,"posadil, nenadil",,,"Arabisa (عادل “adil”), Parsisa (عادل “adel”), Indonesisa (adil), Turkisa (adil), Swahilisa (adili)",,,
adilya,derived,n,TRUE,"fairness, justice",,justeco,"justicia, imparcialidad",,,"posadilya, nenadilya",,,adil + -ya,,,
admiral,root,n,TRUE,admiral,,admiralo,almirante,,,,,insan,"Englisa (admiral), Espanisa (almirante), Fransesa (amiral), Rusisa (адмирал ""admiral""), Doycisa (Admiral), Pilipinasa (almirante), Hindisa (ऐडमिरल ""edmiral""), Arabisa (أَمِيرُ البَحْر ""amiru l-bahr"", أَدْمِيرَال ""admiral""), Telugusa (అడ్మిరల్ ""admiral""), Turkisa (oramiral), Swahilisa (admirali)",,,
adola,root,n,TRUE,muscle,,muskolo,músculo,,,,,jismulogi,"Arabisa (عضلة “adala”), Parsisa (عضله “azole”), Turkisa (adale)",,,
adopsi,root,n/f.oro.a,TRUE,adoption; adopt,,adopto; adopti,adopción; adoptar,,,,,,"Englisa (adoption), Fransesa, Germanisa, Espanisa (adopción), Indonesisa (adopsi), Pilipinasa (adopsiyon)",,,
adrenalin,root,n,TRUE,"adrenaline, epinephrine",,"adrenalino, epinefrino","adrenalina, epinefrina",,,,,,"Arabisa (أَدْرِينَالِين‎ “ʾadrīnālīn”), Fransesa (adrénaline), Doycisa (Adrenalin), Hindisa (एड्रेनालाईन “eḍrenālāīn”), Niponsa (アドレナリン “adorenarin”), Hangusa (아드레날린 “adeurenallin”), Rusisa (адреналин “adrenalin”), Espanisa (adrenalina), Swahilisa (adrenalini), Pilipinasa (adrenalina), Turkisa (adrenalin), Vyetnamsa (adrenaline)",,,
adresu,root,n/f.oj,TRUE,address; address (_mail_),,adreso; adresi,"dirección, domicilio; poner la dirección de alguien en","Anschrift, Adresse; (_einen Brief/ein Paket_) adressieren",,,"Fe lutuf, am irsal misu paketi cel hin adresu.",,"Fransesa (adresse), Englisa (address), Doycisa (Adresse), Rusisa (адрес “adres”), Indonesisa (adres), Pilipinasa (adres), Turkisa (adres), Niponsa (アドレス “adoresu”), Parsisa (آدرس “âdres”)",,,
adresulari,derived,n,TRUE,directory,,"adresaro, adresliro",directorio,,,,,,adresu + -lari,,,
afarin,root,n/f.oro.a; il,TRUE,"applause; applaud, clap; well done, good job, bravo",,"aplaŭdo; aplaŭdi; bone farita, brave","aplauso; aplaudir; bien hecho, bravo",,,,,intrelogalexi,"Hindisa (आफ़रीन “āfrīn”), Arabisa (عَفَارِم “ʿafārim”), Niponsa (あっぱれ “appare”), Turkisa (aferin), Parsisa (آفرین “âfarin”)",,,
afatu,root,n,TRUE,"disaster, catastrophe, calamity",,katastrofo,"desastre, catástrofe, calamidad",,,,,,"Hindisa (आफ़त “afat”), Arabisa (آفَة “afa”), Turkisa (afet), Parsisa (آفت “afat”), Swahilisa (afa)",,,
Afgani,proper noun,n,TRUE,Afghanistan,,"Afganio, Afganujo",Afganistán,Afghanistan,,,,dexa,Pashto (افغانستان “Afġānistān”),,,
Afganili,derived,t,TRUE,"Afghan (_relating to Afghanistan, its people, or their language_)",,afgana,afgano,,,,,,Afgani + -li,,,
Afganiyen,derived,n,TRUE,Afghan (_a native or inhabitant of Afghanistan_),,afgano,afgano (_persona_),,,,,,Afgani + -yen,,,
Afrika,proper noun,n,TRUE,Africa,,Afriko,África,Afrika,,,,"geografi, daygeo","Englisa (Africa), Fransesa (Afrique), Doycisa (Afrika), Rusisa (Африка “Afrika”), Espanisa (Africa), Arabisa (أَفْرِيقِيَا “ʾafrīqiyā”), Hindisa (अफ़्रीका “afrīkā”), Telugusa (ఆఫ్రికా “āphrikā”), Swahilisa (Afrika), Turkisa, Indonesisa, Pilipinasa (Aprika), Hangusa (아프리카 “apeurika”), Niponsa (アフリカ “afufrika”)",,,
Afrikali,derived,t,TRUE,African (_relating to Africa and its people_),,afrika,africano,,,,,,Afrika + -li,,,
Afrikanse,proper noun,t,TRUE,"Afrikaans (_relating to the Afrikaner people, their way of life, or their language_)",,"afrikansa (_pri afrikansoj/afrikaneroj, ilia vivmaniero, aŭ ilia lingvo_)","afrikáner (_relacionado con las personas afrikáneres, su forma de vida, o su idioma_)","afrikaans (_die Volksgruppe der Afrikaander, ihre Kultur oder Sprache betreffend_)",,,,,Afrikansesa (Afrikaans),,,
Afrikansesa,derived,n,TRUE,Afrikaans (language),,"la afrikansa (lingvo), afrikanso",afrikáans,,,,,basa,Afrikanse + -sa,,,
Afrikanseyen,derived,n,TRUE,Afrikaner,,"afrikanso, arikanero, buro","afrikáner, bóer",,,,,,Afrikanse + -yen,,,
Afrikayen,derived,n,TRUE,African (_a native or inhabitant of Africa_),,afrikano,africano (_persona_),,,,,,Afrika + -yen,,,
afsane,root,n,TRUE,legend,,legendo,leyenda,,,,,,"Hindisa (अफ़्साना ""afsana""), Turkisa (efsane), Parsisa (افسانه ""afsâne"")",,,
agil,root,t,TRUE,agile,,facilmova; facilmove,ágil,"beweglich, geschickt, geschmeidig, flink, agil",,,,,"Englisa (agile), Fransesa (agile), Doycisa (agil), Espanisa (agil), Makedonisa (агилен “agilen”)",,,
agilya,derived,n,TRUE,agility,,facilmoveco,agilidad,,,,,,agil + -ya,,,
aham,root,n/f.oro.a; il,TRUE,"comprehension, understanding; understand, comprehend; I see, understood",,"kompreno; kompreni; mi komprenas, komprenita","entendimiento, comprensión; entender, comprender",,,,,intrelogalexi,"Arabisa (فهم “fahum”), Swahilisa (-fahamu), Indonesisa (paham, memahami), Parsisa (فهم “fahm”), Englisa (aha moment)",,,
ahamible,derived,t,TRUE,"understandable, comprehensible, intelligible; understandably, comprehensibly, intelligibly",,komprenebla; kompreneble,"entendible, comprensible, inteligible; entendiblemente, comprensiblemente, inteligiblemente",,,,,,aham + -ible,,,
ajabu,root,t,TRUE,"strange, strangely, weird, weirdly, odd, oddly, peculiar, pecularly",,"stranga, bizara, kurioza; strange, bizare, kurioze","extraño, raro",,,,,,"Hindisa (अजीब “ajib”), Parsisa (عجیب “ajib”), Turkisa (acayip), Swahilisa (ajabu), Arabisa (عجيب “ajib”)",,,
ajabuxey,derived,n,TRUE,"peculiarity, oddity",,"strangaĵo, bizaraĵo, kuriozaĵo","peculiaridad, rareza",,,,,,ajabu + -xey,,,
ajabuya,derived,n,TRUE,"strangeness, weirdness, oddness, peculiarity",,"strangeco, bizareco, kuriozeco",rareza,,,,,,ajabu + -ya,,,
ajabuyen,derived,n,TRUE,"oddball, weirdo, crank, strange person",,"strangulo, bizarulo, kuriozulo","bicho raro, excéntrico, tipo raro, rarito",,,,,,ajabu + -yen,,,
akademi,root,n,TRUE,academy,,akademio,academia,,,,,eskolya,"Doycisa (Akademie), Englisa (academy), Espanisa (academia), Fransesa (académie), Rusisa (академия “akademiya”), Arabisa (أَكَادِيمِيَّة “ʾakādīmiyya”), Parsisa (آکادمی “âkâdemi”), Turkisa (akademi), Swahilisa (akademia), Hindisa (अकादमी “akādmī”), Telugusa (అకాడమీ “akāḍamī”), Indonesisa (akademi), Pilipinasa (akademya), Niponsa (アカデミー “akademī”), Hangusa (아카데미 “akademi”)",,,
akere,root,n,TRUE,acre,,"akreo, akro","acre (_unidad de superficie_), ac",,,,,,"Englisa (acre), Espanisa (acre), Fransesa (acre), Rusisa (акр ""akr""), Doycisa (Acker), Indonesisa (ekar), Pilipinasa (akre), Hindisa (एकड़ ""ekar""), Arabisa (آكِر ""akir""), Niponsa (エーカー ""eka""), Telugusa (ఎకరం ""ekaram""), Turkisa (akre), Hangusa (에이커 ""eyko""), Swahilisa (ekari)",,,
akne,root,n,TRUE,acne,,"akneo, akno(j)",acné,,,,,,"Englisa (acne), Espanisa (acné), Fransesa (acné), Rusisa (акне “akne”), Doycisa (Akne), Indonesisa (akne), Pilipinasa (akne), Turkisa (akne), Parsisa (آکنه “akne”)",,,
aknemon,derived,n,FALSE,"pustule, pimple, zit",,"aknero, akno","pústula, granito, barro, espinilla",,,,,,akne + -mon,,,
akonto,root,n,TRUE,account,,konto,cuenta,Konto,,,,,"Englisa (account), Espanisa (cuenta), Fransesa (compte), Rusisa (аккаунт “akkaunt”), Doycisa (Konto), Indonesisa (akun), Pilipinasa (akawnt, kuwenta), Niponsa (アカウント “akaunto”), Hangusa (어카운트 “okauntu”), Swahilisa (akaunti)",,,
akran,root,n,TRUE,"scorpion, _Scorpiones_",,skorpio,"escorpión, _Scorpiones_",,,,,hewan,"Espanisa (alacrán), Pilipinasa (alakdan), Hindisa अकरब (akrab), Arabisa (عَقْرَب “akrab”), Turkisa (akrep), Parsisa (عقرب “akrab”)",,,
akrobati,root,n,TRUE,acrobatics,,akrobatado,acrobacia,,,,,,"Englisa (acrobatics), Espanisa (acrobacia), Fransesa (acrobatie), Rusisa (акробатика “akrobatika”), Doycisa (Akrobatik), Indonesisa (akrobatik), Pilipinasa (akrobatika), Turkisa (akrobasi), Parsisa (آکروباتیک “âkrobâtik”)",,,
akrobatiyen,derived,n,TRUE,acrobat ,,akrobato,acróbata,,,,,,akrobati + -yen,,,
akse,root,n,TRUE,axis,,akso,eje,,,,,,"Englisa (axis), Espanisa (eje), Fransesa (axe), Rusisa (ось “os”), Doycisa (Achse), Italisa (asse), Pilipinasa (axis, ehe), Hindisa (अक्ष “akx”), Telugusa (అక్షము “akxamu”), Turkisa (eksen), Parsisa (آسه “ase”)",,,
aksento,root,n,TRUE,accent (_sociolinguistics_),,akĉento,acento (_sociolingüística_),Akzent (Aussprache),,,,,"Englisa (accent), Espanisa (acento), Fransesa (acento), Rusisa (акцент “akcent”), Doycisa (Akzent), Indonesisa (aksen), Turkisa (aksan), Parsisa (اکسنت “aksent”)",,,
aksyon,root,n/f.nenoj,TRUE,"action, activity; act, take action, behave",,ago; agi,"acción, actividad; actuar",,,,,,"Englisa (action), Pilipinasa (aksyon), Indonesisa (reaksi), Doycisa (Aktion), Rusisa (реакция “reaksia”), Espanisa (acción), Turkisa (reaksiyon)",,,
aksyonfil,derived,t,TRUE,"active, actively, energetic, energetically",,"agema, energia; ageme","activo, activamente",,,,,,aksyon + -fil,,,
akxu,root,n,TRUE,vice (_moral_),,malvirto,vicio,,,,,,"Putunhwa (恶习 ""exi""), Niponsa (悪習 ""akuxu""), Hangusa (악습 ""aksup"")",,,
